name,Season,Lg,Tm,Age,Ht.,Wt.,G,MP,FG	,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Atlanta Hawks,2020-21,NBA,ATL,5.4%,-0.1%,-0.9%,72,6.9%,7.9%,3.5%,+.019,11.2%,-0.6%,+.039,6.5%,6.2%,+.001,14.6%,11.4%,+.022,15.0%,12.9%,13.4%,8.2%,-3.8%,0.3%,-12.2%,-10.1%,9.3%
Atlanta Hawks,2019-20,NBA,ATL,-4.0%,-0.8%,0.5%,67,-18.0%,-19.7%,-19.4%,-.002,-24.6%,-20.4%,-.018,-17.5%,-18.7%,+.008,-14.3%,-18.4%,+.038,-30.8%,-20.8%,-23.3%,-24.2%,-22.5%,-18.6%,-22.3%,-19.9%,-19.4%
Atlanta Hawks,2018-19,NBA,ATL,-1.2%,0.3%,1.4%,82,0.8%,8.4%,7.3%,+.005,16.4%,19.3%,-.009,5.1%,0.4%,+.023,11.2%,16.0%,-.032,28.5%,4.9%,10.0%,8.8%,5.8%,20.4%,9.5%,20.3%,9.7%
Atlanta Hawks,2017-18,NBA,ATL,-9.0%,0.3%,-3.2%,82,-0.9%,0.2%,1.4%,-.005,25.8%,19.0%,+.019,-7.6%,-6.5%,-.006,-12.5%,-18.9%,+.057,-11.8%,-3.6%,-5.5%,0.4%,-5.1%,-12.3%,-1.4%,7.7%,0.2%
Atlanta Hawks,2016-17,NBA,ATL,-1.1%,0.3%,0.9%,82,0.3%,-1.4%,-0.1%,-.006,-10.6%,-8.1%,-.009,1.7%,4.0%,-.011,15.8%,24.5%,-.055,24.0%,0.8%,5.3%,-7.7%,-10.0%,-18.3%,5.5%,-5.0%,0.3%
Atlanta Hawks,2015-16,NBA,ATL,1.4%,0.0%,-0.5%,82,0.5%,1.5%,3.3%,-.008,-0.4%,8.1%,-.030,2.2%,1.1%,+.005,-5.0%,-5.6%,+.005,-5.0%,6.2%,3.8%,-0.5%,0.4%,27.9%,5.1%,7.8%,0.3%
Atlanta Hawks,2014-15,NBA,ATL,0.7%,0.3%,-0.9%,82,-0.5%,2.0%,0.2%,+.008,6.5%,1.7%,+.017,0.4%,-0.5%,+.005,-3.1%,-2.6%,-.004,0.3%,1.8%,1.5%,3.4%,9.4%,16.6%,-6.7%,-7.6%,1.5%
Atlanta Hawks,2013-14,NBA,ATL,1.8%,-0.3%,2.3%,82,-0.1%,-0.7%,0.7%,-.006,8.8%,11.3%,-.008,-3.6%,-3.6%,+.000,20.2%,10.1%,+.066,-5.9%,-1.1%,-2.2%,1.7%,2.4%,-11.7%,2.6%,7.1%,3.1%
Atlanta Hawks,2012-13,NBA,ATL,-2.9%,-0.6%,0.0%,82,22.8%,27.0%,24.2%,+.010,43.5%,42.9%,+.001,22.8%,18.0%,+.019,13.0%,16.9%,-.025,16.3%,25.5%,23.3%,35.5%,23.9%,21.8%,32.4%,25.0%,26.0%
Atlanta Hawks,2011-12,NBA,ATL,1.8%,-0.4%,-1.8%,66,-18.1%,-18.2%,-16.8%,-.008,-2.0%,-6.8%,+.018,-21.5%,-19.7%,-.012,-23.8%,-19.8%,-.039,-14.4%,-16.0%,-15.6%,-17.8%,7.8%,-11.1%,-17.6%,-24.2%,-18.2%
Atlanta Hawks,2010-11,NBA,ATL,3.4%,-0.1%,0.0%,82,-0.6%,-6.6%,-5.5%,-.006,-4.2%,-1.9%,-.008,-7.1%,-6.4%,-.003,-7.3%,-9.7%,+.020,-21.4%,0.4%,-5.8%,0.7%,-16.0%,-17.4%,14.1%,-4.8%,-6.6%
Atlanta Hawks,2009-10,NBA,ATL,2.7%,0.6%,0.0%,82,0.8%,7.6%,5.4%,+.010,-12.2%,-10.9%,-.005,12.6%,11.0%,+.007,-5.5%,-8.2%,+.021,11.4%,1.6%,4.2%,8.0%,-1.8%,9.8%,-6.5%,1.4%,3.6%
Portland Trail Blazers,2020-21,NBA,POR,-0.4%,-0.5%,0.0%,72,-3.0%,-4.8%,-2.8%,-.009,18.9%,16.4%,+.008,-15.2%,-14.3%,-.005,-2.3%,-4.5%,+.019,1.6%,-6.1%,-4.4%,0.4%,6.7%,-19.5%,-15.5%,-15.2%,-1.7%
Portland Trail Blazers,2019-20,NBA,POR,5.0%,-1.5%,-0.9%,74,-10.2%,-10.0%,-9.1%,-.005,5.3%,0.2%,+.018,-15.4%,-13.9%,-.009,-15.8%,-14.7%,-.010,-22.0%,-12.4%,-14.8%,-19.2%,-14.8%,9.2%,-16.7%,-3.8%,-9.5%
Portland Trail Blazers,2018-19,NBA,POR,2.3%,0.6%,0.5%,82,0.5%,7.7%,4.1%,+.015,7.0%,9.2%,-.007,8.0%,1.7%,+.030,13.6%,11.6%,+.014,15.8%,2.6%,5.6%,18.0%,-4.7%,-2.4%,2.3%,4.4%,8.6%
Portland Trail Blazers,2017-18,NBA,POR,3.2%,-0.6%,-0.5%,82,-0.9%,-0.6%,1.0%,-.008,-0.8%,1.6%,-.009,-0.6%,0.8%,-.007,-9.3%,-11.6%,+.020,0.6%,5.2%,4.1%,-7.7%,-0.2%,3.7%,-1.5%,-7.9%,-2.1%
Portland Trail Blazers,2016-17,NBA,POR,2.1%,0.0%,0.0%,82,0.6%,2.4%,0.3%,+.010,-1.4%,-2.7%,+.005,3.8%,1.8%,+.010,6.2%,2.7%,+.026,-12.4%,-1.2%,-4.0%,-0.9%,2.1%,7.4%,-6.2%,-2.6%,2.7%
Portland Trail Blazers,2015-16,NBA,POR,-10.0%,-0.1%,0.0%,82,-0.3%,-0.3%,-0.1%,-.001,7.1%,4.7%,+.008,-2.7%,-2.4%,-.002,11.9%,18.9%,-.047,7.8%,-3.4%,-0.8%,-2.8%,7.0%,2.2%,7.4%,19.3%,2.3%
Portland Trail Blazers,2014-15,NBA,POR,4.7%,0.4%,0.5%,82,0.0%,-1.0%,-1.2%,+.001,4.8%,7.7%,-.010,-2.8%,-4.8%,+.010,-18.9%,-17.5%,-.014,-14.0%,3.4%,-1.3%,-5.5%,15.6%,-3.9%,-0.7%,-5.2%,-3.7%
Portland Trail Blazers,2013-14,NBA,POR,5.7%,-0.4%,0.0%,82,0.0%,6.6%,6.2%,+.001,14.4%,8.8%,+.018,4.3%,5.2%,-.004,20.3%,14.6%,+.038,16.9%,12.6%,13.7%,6.7%,-15.6%,9.6%,-6.5%,3.8%,9.5%
Portland Trail Blazers,2012-13,NBA,POR,-11.3%,0.6%,0.9%,82,24.4%,25.3%,24.0%,+.005,40.8%,37.8%,+.008,21.4%,19.2%,+.009,15.1%,18.1%,-.020,18.9%,26.9%,24.7%,32.2%,1.9%,9.6%,28.7%,21.3%,24.6%
Portland Trail Blazers,2011-12,NBA,POR,3.0%,0.0%,0.5%,66,-19.4%,-18.6%,-17.9%,-.004,-7.7%,-8.1%,+.001,-20.9%,-20.8%,-.001,-23.2%,-22.5%,-.008,-26.2%,-12.6%,-16.8%,-22.3%,-20.0%,-10.1%,-12.6%,-21.1%,-18.8%
Portland Trail Blazers,2010-11,NBA,POR,0.4%,-0.1%,-0.5%,82,-0.3%,-0.8%,2.3%,-.014,5.5%,8.3%,-.009,-2.0%,0.6%,-.013,-8.1%,-9.7%,+.014,9.1%,-6.4%,-2.1%,3.7%,26.2%,2.3%,5.7%,-7.6%,-1.9%
Portland Trail Blazers,2009-10,NBA,POR,10.8%,-1.1%,0.5%,82,0.1%,-1.5%,-0.6%,-.004,-17.6%,-10.7%,-.030,2.5%,2.6%,-.000,5.6%,2.3%,+.025,-13.9%,1.0%,-3.6%,0.4%,-4.9%,-12.9%,-4.1%,2.6%,-1.3%
Phoenix Suns,2020-21,NBA,PHO,8.1%,-1.0%,0.0%,72,-0.7%,3.7%,-1.1%,+.023,13.1%,7.3%,+.019,0.1%,-5.9%,+.034,-22.5%,-22.6%,+.001,-11.5%,-0.1%,-2.7%,-2.4%,-7.5%,7.6%,-16.2%,-14.6%,0.1%
Phoenix Suns,2019-20,NBA,PHO,2.5%,-1.1%,-0.5%,73,-11.5%,-8.6%,-10.3%,+.008,5.2%,-3.3%,+.029,-13.0%,-13.7%,+.005,0.3%,-6.4%,+.055,-4.8%,-3.8%,-4.0%,1.5%,-23.9%,-30.6%,-15.8%,-16.7%,-5.9%
Phoenix Suns,2018-19,NBA,PHO,1.3%,0.1%,-0.9%,82,0.9%,4.3%,0.3%,+.018,3.5%,5.0%,-.005,4.6%,-1.9%,+.032,-0.4%,-5.3%,+.038,-11.2%,-7.7%,-8.5%,12.3%,29.2%,13.0%,-0.8%,6.9%,3.4%
Phoenix Suns,2017-18,NBA,PHO,-5.2%,0.9%,-1.8%,82,-0.6%,-3.6%,-1.6%,-.009,24.1%,23.3%,+.002,-10.0%,-10.2%,+.001,-13.3%,-9.1%,-.036,-13.7%,2.4%,-1.9%,8.7%,-15.5%,-7.3%,1.9%,-11.0%,-3.5%
Phoenix Suns,2016-17,NBA,PHO,-3.8%,-0.6%,-1.8%,82,0.6%,7.2%,3.4%,+.016,-16.7%,-12.5%,-.017,14.8%,10.3%,+.019,17.1%,13.3%,+.025,3.5%,-0.8%,0.3%,-5.7%,6.5%,27.5%,-10.3%,9.3%,6.8%
Phoenix Suns,2015-16,NBA,PHO,1.2%,1.0%,2.8%,82,-0.9%,-4.0%,-0.3%,-.017,5.7%,3.4%,+.008,-6.7%,-1.8%,-.025,6.6%,7.8%,-.009,5.2%,3.4%,3.9%,2.5%,-9.7%,-18.7%,13.9%,6.5%,-1.5%
Phoenix Suns,2014-15,NBA,PHO,-1.9%,-0.8%,-0.5%,82,0.6%,0.2%,2.8%,-.012,-8.8%,-0.3%,-.031,3.0%,4.2%,-.006,-11.6%,-11.8%,+.002,-3.4%,1.6%,0.3%,6.1%,1.7%,2.9%,-1.6%,-3.0%,-2.7%
Phoenix Suns,2013-14,NBA,PHO,-2.6%,-0.4%,-0.9%,82,-0.3%,3.6%,-1.0%,+.021,59.4%,41.2%,+.042,-6.7%,-12.3%,+.030,26.4%,23.9%,+.015,-3.2%,6.0%,3.4%,-15.7%,4.4%,-13.8%,-1.6%,6.5%,10.6%
Phoenix Suns,2012-13,NBA,PHO,-6.9%,-0.1%,-0.9%,82,25.0%,22.7%,27.0%,-.016,8.1%,12.4%,-.013,25.8%,31.6%,-.022,13.7%,15.8%,-.014,33.8%,20.6%,24.0%,24.8%,52.9%,18.6%,37.7%,36.9%,20.2%
Phoenix Suns,2011-12,NBA,PHO,-2.4%,-0.4%,0.5%,66,-20.8%,-22.5%,-20.4%,-.012,-36.7%,-30.3%,-.035,-18.5%,-16.8%,-.011,-28.1%,-28.0%,-.002,-12.7%,-17.9%,-16.6%,-23.6%,-20.9%,2.5%,-20.6%,-26.0%,-24.6%
Phoenix Suns,2010-11,NBA,PHO,3.9%,0.3%,-0.5%,82,1.4%,-3.6%,0.8%,-.022,-4.0%,4.9%,-.035,-3.5%,-0.6%,-.015,-9.7%,-8.4%,-.011,-9.8%,-5.3%,-6.4%,1.7%,13.8%,-14.6%,-3.4%,-2.7%,-4.7%
Phoenix Suns,2009-10,NBA,PHO,-3.4%,0.3%,-3.1%,82,-0.1%,-1.0%,1.4%,-.012,32.0%,22.5%,+.030,-7.5%,-4.4%,-.017,-2.6%,-6.0%,+.026,1.1%,3.8%,3.1%,0.4%,-18.7%,-0.5%,-6.1%,1.3%,0.7%
Philadelphia 76ers,2020-21,NBA,PHI,3.0%,-0.4%,-0.9%,72,-0.9%,-0.6%,-2.5%,+.009,-4.4%,-6.0%,+.006,0.8%,-0.5%,+.007,14.0%,12.1%,+.013,-5.5%,-1.2%,-2.2%,-9.4%,11.8%,14.9%,0.3%,-4.8%,1.2%
Philadelphia 76ers,2019-20,NBA,PHI,-0.4%,-0.8%,1.4%,73,-11.2%,-11.9%,-11.3%,-.004,-4.6%,-6.8%,+.008,-14.5%,-13.6%,-.006,-29.0%,-27.5%,-.017,-14.3%,-15.6%,-15.3%,-14.6%,-3.3%,-10.0%,-15.2%,-12.4%,-14.4%
Philadelphia 76ers,2018-19,NBA,PHI,2.3%,0.3%,0.5%,82,0.1%,1.7%,1.9%,-.001,-1.3%,1.2%,-.009,2.9%,2.3%,+.003,24.0%,20.9%,+.019,-0.1%,1.0%,0.7%,-0.6%,-11.1%,2.9%,-9.6%,-3.6%,4.9%
Philadelphia 76ers,2017-18,NBA,PHI,4.9%,0.5%,0.5%,82,-0.3%,8.5%,1.5%,+.030,8.4%,0.1%,+.028,8.5%,2.3%,+.030,0.9%,3.4%,-.019,10.7%,10.7%,10.7%,14.0%,-1.4%,0.0%,-1.0%,1.0%,7.2%
Philadelphia 76ers,2016-17,NBA,PHI,5.6%,1.0%,1.9%,82,0.1%,4.0%,1.5%,+.010,8.8%,8.3%,+.001,2.3%,-1.8%,+.020,8.5%,-2.4%,+.077,3.9%,3.9%,3.9%,10.4%,1.8%,-15.2%,1.7%,0.7%,5.2%
Philadelphia 76ers,2015-16,NBA,PHI,0.4%,-1.5%,0.5%,82,0.0%,7.4%,1.6%,+.023,10.4%,4.4%,+.018,6.4%,0.3%,+.027,-2.7%,-5.3%,+.018,-20.6%,2.7%,-3.8%,4.9%,-13.8%,1.6%,-7.6%,0.1%,5.9%
Philadelphia 76ers,2014-15,NBA,PHI,-0.9%,0.3%,0.5%,82,-0.3%,-11.0%,-5.2%,-.027,19.9%,16.9%,+.008,-18.1%,-12.9%,-.028,-3.1%,1.8%,-.034,3.1%,-0.8%,0.3%,-6.0%,3.1%,47.6%,5.0%,-3.6%,-7.5%
Philadelphia 76ers,2013-14,NBA,PHI,-7.1%,0.6%,0.0%,82,0.5%,1.6%,3.7%,-.009,11.4%,28.4%,-.048,-0.4%,-2.8%,+.012,35.7%,39.3%,-.019,5.9%,2.5%,3.4%,-4.1%,25.6%,-14.1%,29.3%,22.5%,6.7%
Philadelphia 76ers,2012-13,NBA,PHI,1.2%,0.9%,-0.5%,82,24.1%,23.8%,25.0%,-.004,48.4%,49.3%,-.002,19.7%,19.9%,-.000,12.9%,14.9%,-.013,27.3%,16.3%,19.0%,28.5%,15.8%,12.9%,45.0%,30.1%,23.6%
Philadelphia 76ers,2011-12,NBA,PHI,0.8%,-0.1%,-1.4%,66,-20.1%,-20.9%,-18.6%,-.013,-21.2%,-22.8%,+.007,-20.9%,-17.6%,-.019,-37.7%,-35.3%,-.028,-17.2%,-16.8%,-16.9%,-21.9%,-15.3%,-4.2%,-30.6%,-27.3%,-23.9%
Philadelphia 76ers,2010-11,NBA,PHI,-2.8%,0.0%,0.5%,82,0.6%,1.2%,1.0%,+.001,-6.5%,-9.6%,+.012,2.6%,3.8%,-.006,4.4%,2.4%,+.015,-9.7%,6.5%,2.0%,8.0%,-6.9%,-19.1%,-10.8%,-5.1%,1.3%
Philadelphia 76ers,2009-10,NBA,PHI,-2.7%,0.4%,-0.5%,82,0.3%,3.0%,2.7%,+.002,39.0%,28.8%,+.025,-1.6%,-2.5%,+.004,-17.3%,-18.4%,+.010,-9.4%,3.6%,-0.4%,4.6%,1.4%,5.8%,3.0%,1.6%,0.3%
Orlando Magic,2020-21,NBA,ORL,-1.9%,-0.3%,0.5%,72,-1.4%,-4.1%,-0.7%,-.015,-2.9%,-2.8%,-.000,-4.6%,0.5%,-.025,-6.7%,-6.8%,+.001,-0.5%,1.1%,0.7%,-10.1%,-17.2%,-19.7%,-1.4%,-7.4%,-4.4%
Orlando Magic,2019-20,NBA,ORL,1.6%,-0.9%,1.9%,73,-11.2%,-13.4%,-11.5%,-.010,-13.9%,-10.6%,-.013,-13.2%,-12.0%,-.007,4.1%,5.1%,-.007,-8.6%,-13.9%,-12.8%,-16.6%,10.3%,-11.0%,-13.4%,-12.5%,-11.0%
Orlando Magic,2018-19,NBA,ORL,0.4%,0.8%,0.0%,82,0.3%,4.2%,3.8%,+.002,11.0%,9.5%,+.005,1.8%,0.8%,+.005,-3.1%,-6.1%,+.024,13.9%,7.8%,9.1%,9.1%,-12.7%,11.2%,-9.2%,-3.4%,3.8%
Orlando Magic,2017-18,NBA,ORL,1.2%,-0.5%,-2.3%,82,-0.4%,1.4%,-1.3%,+.012,20.4%,12.4%,+.023,-4.1%,-7.1%,+.016,-2.9%,-4.3%,+.011,-10.5%,-1.5%,-3.6%,5.5%,7.2%,1.0%,9.3%,-0.3%,2.3%
Orlando Magic,2016-17,NBA,ORL,5.9%,-0.4%,-0.5%,82,-0.5%,-3.2%,0.2%,-.015,10.2%,17.7%,-.022,-6.4%,-5.8%,-.003,4.8%,6.3%,-.011,-4.3%,0.9%,-0.3%,-5.8%,-13.8%,-5.0%,-5.5%,-6.9%,-1.0%
Orlando Magic,2015-16,NBA,ORL,-1.6%,0.1%,-0.9%,82,0.8%,5.4%,4.8%,+.002,14.8%,13.8%,+.003,3.3%,2.1%,+.006,9.5%,5.4%,+.028,2.6%,3.9%,3.6%,14.2%,4.0%,32.8%,-5.4%,-0.8%,6.7%
Orlando Magic,2014-15,NBA,ORL,-1.2%,1.4%,-0.5%,82,-1.0%,1.8%,0.1%,+.007,-1.6%,0.1%,-.006,2.6%,0.1%,+.012,-12.7%,-8.7%,-.033,3.5%,-1.8%,-0.6%,-2.0%,2.7%,-10.3%,-0.1%,2.1%,-0.8%
Orlando Magic,2013-14,NBA,ORL,0.0%,-0.1%,0.9%,82,0.9%,-2.3%,-1.7%,-.003,11.3%,3.8%,+.024,-4.9%,-3.3%,-.008,27.4%,26.1%,+.008,-10.8%,1.6%,-1.5%,-7.7%,19.3%,-2.2%,2.6%,5.5%,2.5%
Orlando Magic,2012-13,NBA,ORL,-10.5%,-0.4%,-0.9%,82,23.9%,36.0%,33.7%,+.007,-24.5%,-13.9%,-.046,61.2%,58.9%,+.007,3.1%,-9.9%,+.095,19.9%,26.8%,25.0%,41.6%,17.1%,30.2%,21.0%,36.2%,24.2%
Orlando Magic,2011-12,NBA,ORL,-0.4%,0.0%,1.8%,66,-19.5%,-23.0%,-19.5%,-.020,-13.0%,-15.1%,+.009,-26.6%,-21.6%,-.032,-31.5%,-28.2%,-.032,-14.1%,-23.1%,-20.9%,-19.3%,-17.7%,-28.4%,-19.6%,-28.8%,-23.6%
Orlando Magic,2010-11,NBA,ORL,-1.1%,0.1%,0.5%,82,0.5%,-1.6%,0.3%,-.009,-8.4%,-6.2%,-.009,1.0%,3.7%,-.014,-7.7%,-3.4%,-.032,6.7%,-2.1%,-0.1%,1.3%,7.0%,-15.8%,6.0%,0.7%,-3.5%
Orlando Magic,2009-10,NBA,ORL,2.2%,-0.9%,1.9%,82,0.0%,2.6%,-0.3%,+.013,2.9%,4.4%,-.005,2.5%,-2.7%,+.026,-2.2%,-3.4%,+.009,-1.1%,0.3%,-0.0%,1.4%,-10.2%,3.9%,1.1%,-2.1%,1.7%
Oklahoma City Thunder,2020-21,NBA,OKC,-10.6%,1.7%,1.5%,72,-0.4%,-2.9%,3.0%,-.027,11.3%,16.5%,-.016,-8.1%,-4.4%,-.020,-21.7%,-14.0%,-.071,20.6%,2.9%,6.3%,1.7%,-8.4%,-10.5%,17.8%,-6.1%,-4.9%
Oklahoma City Thunder,2019-20,NBA,OKC,-0.8%,-1.6%,-4.2%,72,-12.2%,-17.7%,-20.1%,+.014,-17.4%,-18.9%,+.007,-17.8%,-20.8%,+.019,-2.7%,-12.8%,+.083,-42.5%,-14.3%,-21.7%,-18.5%,-28.2%,-16.9%,-13.9%,-24.4%,-15.3%
Oklahoma City Thunder,2018-19,NBA,OKC,-5.9%,-0.3%,-1.8%,82,0.1%,6.9%,6.7%,+.001,5.8%,7.5%,-.006,7.3%,6.3%,+.005,2.8%,3.2%,-.003,0.7%,9.0%,6.7%,9.5%,3.1%,3.2%,-0.2%,11.3%,6.1%
Oklahoma City Thunder,2017-18,NBA,OKC,10.5%,0.0%,0.5%,82,0.1%,1.1%,0.7%,+.001,27.3%,17.7%,+.027,-6.1%,-6.4%,+.002,-9.8%,-6.1%,-.030,2.2%,-5.3%,-3.3%,1.7%,14.7%,1.0%,-6.7%,-3.6%,1.2%
Oklahoma City Thunder,2016-17,NBA,OKC,-4.3%,0.0%,-4.0%,82,-0.1%,-4.0%,1.2%,-.025,2.1%,8.8%,-.022,-5.5%,-1.6%,-.021,-2.5%,2.2%,-.036,-6.4%,-3.3%,-4.1%,-8.6%,7.5%,-16.2%,-5.7%,1.4%,-3.3%
Oklahoma City Thunder,2015-16,NBA,OKC,1.6%,0.5%,2.7%,82,0.0%,5.9%,-0.5%,+.029,7.3%,4.3%,+.010,5.6%,-2.2%,+.039,6.0%,2.3%,+.027,1.8%,2.5%,2.3%,12.0%,0.8%,7.3%,8.3%,-7.5%,6.0%
Oklahoma City Thunder,2014-15,NBA,OKC,-3.1%,-0.3%,0.9%,82,0.1%,-0.3%,5.0%,-.024,-4.8%,1.4%,-.022,0.9%,6.3%,-.026,-7.8%,-1.6%,-.051,18.6%,2.3%,6.2%,-6.3%,-11.8%,-9.4%,-4.1%,-1.6%,-2.1%
Oklahoma City Thunder,2013-14,NBA,OKC,0.8%,-0.3%,0.0%,82,-0.1%,2.2%,4.3%,-.010,11.0%,15.8%,-.016,0.1%,0.5%,-.002,-9.1%,-6.6%,-.023,3.9%,2.1%,2.5%,2.3%,-0.1%,-19.7%,0.2%,12.3%,0.4%
Oklahoma City Thunder,2012-13,NBA,OKC,3.6%,0.6%,-0.9%,82,24.0%,27.0%,24.4%,+.010,26.7%,20.6%,+.018,27.0%,25.7%,+.006,29.4%,25.9%,+.022,17.6%,26.3%,24.1%,43.2%,36.3%,15.8%,16.1%,22.3%,27.4%
Oklahoma City Thunder,2011-12,NBA,OKC,5.9%,-0.4%,1.4%,66,-20.1%,-19.7%,-20.9%,+.007,-3.1%,-6.1%,+.011,-22.8%,-24.9%,+.013,-28.9%,-27.4%,-.017,-19.6%,-17.2%,-17.8%,-26.8%,-23.9%,10.7%,-6.7%,-26.4%,-20.9%
Oklahoma City Thunder,2010-11,NBA,OKC,2.2%,-0.1%,-0.5%,82,1.0%,0.1%,-0.3%,+.002,16.5%,14.2%,+.007,-2.5%,-3.6%,+.006,11.2%,8.6%,+.019,-5.9%,-0.1%,-1.7%,2.0%,0.0%,1.2%,-5.8%,5.3%,3.3%
Oklahoma City Thunder,2009-10,NBA,OKC,-5.3%,0.1%,0.0%,82,0.0%,2.1%,-1.3%,+.016,27.4%,29.5%,-.006,-1.0%,-6.4%,+.027,9.3%,6.8%,+.019,-3.9%,4.4%,2.0%,-1.4%,7.6%,29.6%,-7.7%,5.3%,4.7%
New York Knicks,2020-21,NBA,NYK,4.5%,-0.4%,-2.3%,72,9.2%,7.6%,5.6%,+.009,34.2%,15.5%,+.055,-0.7%,0.9%,-.008,9.8%,-2.8%,+.090,-12.5%,12.3%,5.9%,5.8%,0.6%,16.6%,-1.5%,0.6%,10.4%
New York Knicks,2019-20,NBA,NYK,4.7%,-0.8%,0.9%,66,-19.3%,-15.8%,-18.6%,+.015,-23.3%,-22.7%,-.003,-13.2%,-16.5%,+.019,-27.5%,-20.8%,-.064,-7.2%,-19.1%,-16.3%,-11.5%,-9.5%,-25.8%,-17.8%,-14.5%,-18.6%
New York Knicks,2018-19,NBA,NYK,-11.0%,0.0%,0.5%,82,-0.3%,-6.0%,0.7%,-.031,22.3%,26.5%,-.012,-13.2%,-8.7%,-.025,21.1%,25.6%,-.028,-0.2%,2.1%,1.6%,-13.9%,0.9%,0.2%,-4.6%,1.8%,0.1%
New York Knicks,2017-18,NBA,NYK,-3.7%,0.0%,1.4%,82,-0.1%,2.8%,-0.9%,+.016,-4.4%,-5.3%,+.003,4.8%,0.9%,+.019,-10.2%,-10.1%,-.001,-12.6%,1.1%,-2.6%,7.1%,-5.0%,-7.5%,6.0%,0.8%,0.1%
New York Knicks,2016-17,NBA,NYK,0.4%,0.0%,-4.4%,82,0.3%,7.3%,5.4%,+.008,15.4%,14.8%,+.002,5.3%,2.1%,+.015,-3.3%,-1.3%,-.017,15.6%,-2.3%,1.9%,6.2%,24.4%,-2.4%,3.6%,3.2%,6.1%
New York Knicks,2015-16,NBA,NYK,1.1%,1.0%,4.1%,82,-0.3%,4.9%,2.4%,+.010,8.9%,9.2%,-.001,3.9%,0.2%,+.017,16.5%,11.3%,+.036,-2.0%,14.1%,9.9%,-3.7%,-18.8%,22.0%,-8.9%,-8.6%,7.0%
New York Knicks,2014-15,NBA,NYK,-4.9%,-0.3%,-0.9%,82,0.0%,-4.8%,-0.2%,-.021,-26.2%,-20.8%,-.025,2.4%,8.7%,-.028,-4.7%,-5.7%,+.008,-0.3%,0.2%,0.1%,6.4%,-8.9%,4.1%,13.5%,-2.6%,-6.8%
New York Knicks,2013-14,NBA,NYK,-6.3%,0.0%,0.5%,82,0.6%,1.0%,0.7%,+.001,-14.8%,-14.0%,-.003,7.7%,8.9%,-.005,-3.2%,-3.4%,+.002,-2.2%,0.0%,-0.6%,3.9%,-6.1%,24.8%,7.6%,10.0%,-1.4%
New York Knicks,2012-13,NBA,NYK,14.8%,-0.9%,-1.8%,82,23.8%,26.7%,25.4%,+.005,72.3%,54.2%,+.040,13.9%,13.7%,+.001,8.4%,5.8%,+.018,19.8%,21.1%,20.7%,18.9%,8.0%,6.5%,-6.4%,18.6%,26.9%
New York Knicks,2011-12,NBA,NYK,4.0%,0.8%,0.9%,66,-19.4%,-24.7%,-22.3%,-.014,-32.4%,-26.1%,-.031,-22.2%,-20.7%,-.010,-28.3%,-21.7%,-.068,-12.3%,-18.5%,-16.9%,-24.4%,-0.5%,-41.9%,-6.0%,-20.2%,-26.1%
New York Knicks,2010-11,NBA,NYK,-0.4%,0.0%,1.4%,82,-0.5%,0.4%,-0.1%,+.002,3.0%,-3.0%,+.021,-0.4%,1.2%,-.008,22.7%,18.6%,+.027,1.3%,-0.3%,0.1%,-0.8%,6.7%,55.7%,-2.2%,6.4%,4.3%
New York Knicks,2009-10,NBA,NYK,-1.2%,1.3%,0.5%,82,0.4%,-1.0%,-3.0%,+.010,-9.7%,-6.1%,-.014,2.1%,-1.6%,+.018,-7.7%,-7.4%,-.002,-8.2%,-2.7%,-4.1%,2.0%,-3.9%,49.5%,-2.2%,-2.0%,-2.9%
New Orleans Pelicans,2020-21,NBA,NOP,-2.4%,0.8%,3.8%,72,0.0%,-0.2%,-2.8%,+.013,-22.4%,-17.5%,-.022,10.3%,7.1%,+.016,11.4%,11.3%,+.000,6.0%,0.7%,1.9%,-3.1%,1.1%,-12.0%,-10.9%,-15.0%,-1.1%
New Orleans Pelicans,2019-20,NBA,NOP,-1.2%,-0.9%,-2.7%,72,-11.8%,-14.4%,-12.8%,-.009,16.6%,8.5%,+.026,-24.0%,-22.9%,-.007,-15.9%,-12.2%,-.033,-12.3%,-14.1%,-13.7%,-12.8%,-11.6%,-18.8%,-2.8%,-12.0%,-11.9%
New Orleans Pelicans,2018-19,NBA,NOP,-6.9%,0.5%,0.5%,82,-1.0%,2.3%,4.4%,-.010,0.6%,5.9%,-.018,2.9%,3.8%,-.005,10.4%,11.9%,-.010,27.7%,1.5%,6.7%,1.0%,-7.2%,-9.1%,-0.7%,10.3%,3.3%
New Orleans Pelicans,2017-18,NBA,NOP,7.4%,-0.5%,-0.9%,82,0.3%,9.0%,1.6%,+.033,9.0%,5.3%,+.012,9.0%,-0.1%,+.045,-3.2%,-6.0%,+.022,1.3%,1.6%,1.5%,17.4%,3.0%,7.1%,16.0%,5.4%,7.1%
New Orleans Pelicans,2016-17,NBA,NOP,-3.4%,-0.5%,-1.3%,82,0.6%,1.8%,1.3%,+.002,9.4%,12.6%,-.010,-0.4%,-3.0%,+.013,-3.3%,0.1%,-.027,-10.1%,6.2%,2.5%,2.8%,0.8%,32.5%,-4.4%,-13.0%,1.6%
