Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist,2P_FGA,0-3_FGA,3-10_FGA,10-16_FGA,16-3P_FGA,3P_FGA,2P_FG,0-3_FG,3-10_FG,10-16_FG,16-3P_FG,3P_FG,2P_AST,3P_AST,FGA_DUNK,FG_DUNK,FG3A_Corner3,FG_Corner3,FG3A_Heave,FG3_heave
JaMychal Green,1990-06-21,0,2018-19,28,MEM,NBA,PF,41,900,.484,11.9,.692,.369,.147,.061,.115,.308,.523,.643,.304,.474,.444,.396,.690,.974,.112,28,.333,.344,0,0
JaMychal Green,1990-06-21,0,2018-19,28,LAC,NBA,PF,24,471,.482,15.1,.512,.299,.110,.043,.061,.488,.548,.673,.389,.571,.200,.413,.457,.939,.055,9,.213,.647,0,0
JaMychal Green,1990-06-21,0,2019-20,29,LAC,NBA,PF,63,1307,.429,18.4,.324,.205,.085,.014,.020,.676,.518,.611,.333,.600,.286,.387,.576,1.000,.040,12,.231,.400,0,0
Goran Dragić,1986-05-06,0,2010-11,24,HOU,NBA,PG,22,378,.472,14.6,.568,.280,.160,.024,.104,.432,.437,.657,.250,.333,.154,.519,.355,.750,.016,2,.167,.778,1,0
Goran Dragić,1986-05-06,0,2011-12,25,HOU,NBA,PG,66,1752,.462,13.2,.663,.305,.133,.105,.120,.337,.525,.710,.363,.365,.375,.337,.177,.618,.022,12,.178,.278,0,0
Gerald Green,1986-01-26,0,2018-19,33,HOU,NBA,SG,73,1473,.400,20.9,.237,.097,.064,.040,.036,.763,.547,.750,.486,.261,.429,.354,.680,.910,.021,10,.313,.413,1,0
Gerald Green,1986-01-26,1,2012-13,27,IND,NBA,SF,9,105,.420,20.0,.340,.100,.040,.060,.140,.660,.588,.800,.500,.667,.429,.333,.300,.909,.080,4,.394,.462,0,0
Andre Drummond,1993-08-10,0,2017-18,24,DET,NBA,C,78,2625,.529,3.2,.988,.659,.271,.056,.002,.012,.536,.649,.314,.286,.000,.000,.545,,.188,144,.000,,4,0
Andre Drummond,1993-08-10,0,2018-19,25,DET,NBA,C,79,2647,.533,4.1,.964,.624,.299,.034,.007,.036,.548,.646,.384,.306,.000,.132,.570,.800,.184,167,.132,.000,7,0
Russell Westbrook,1988-11-12,0,2018-19,30,OKC,NBA,PG,73,2630,.428,12.5,.721,.361,.088,.143,.129,.279,.481,.650,.208,.333,.358,.290,.170,.613,.029,33,.119,.367,0,0
Russell Westbrook,1988-11-12,0,2019-20,31,HOU,NBA,PG,57,2049,.472,10.1,.834,.415,.142,.130,.148,.166,.514,.640,.363,.404,.402,.258,.235,.655,.041,40,.192,.220,0,0
Willie Green,1981-07-28,1,2013-14,32,LAC,NBA,SG,5,19,.200,24.5,.200,.000,.000,.000,.200,.800,.000,,,,.000,.250,,1.000,.000,0,.250,1.000,0,0
Jeff Green,1986-08-28,0,2015-16,29,TOT,NBA,SF,80,2253,.430,11.3,.742,.308,.218,.090,.125,.258,.470,.602,.344,.486,.350,.315,.401,.896,.063,47,.343,.329,4,0
Jeff Green,1986-08-28,0,2015-16,29,MEM,NBA,SF,53,1544,.431,11.3,.756,.314,.206,.102,.133,.244,.470,.583,.383,.491,.324,.309,.399,.833,.072,35,.287,.333,4,0
Blake Griffin,1989-03-16,0,2019-20,30,DET,NBA,PF,18,512,.352,13.8,.556,.276,.212,.036,.032,.444,.439,.565,.358,.222,.125,.243,.393,.593,.020,5,.216,.167,0,0
Blake Griffin,1989-03-16,0,2020-21,31,TOT,NBA,PF,46,1186,.423,15.1,.501,.265,.175,.029,.032,.499,.505,.633,.431,.167,.154,.341,.500,.757,.046,18,.180,.270,1,0
JaMychal Green,1990-06-21,0,2020-21,30,DEN,NBA,PF,58,1120,.463,15.5,.471,.249,.158,.027,.037,.529,.534,.688,.407,.200,.286,.399,.585,1.000,.096,27,.273,.444,0,0
JaMychal Green,1990-06-21,1,2014-15,24,MEM,NBA,PF,5,8,.000,21.2,.500,.000,.000,.000,.500,.500,.000,,,,.000,.000,,,.000,0,.000,,0,0
Goran Dragić,1986-05-06,0,2012-13,26,PHO,NBA,PG,77,2581,.443,13.5,.695,.292,.100,.143,.159,.305,.497,.664,.341,.369,.403,.319,.284,.625,.007,6,.188,.346,0,0
Goran Dragić,1986-05-06,0,2013-14,27,PHO,NBA,SG,76,2668,.505,12.1,.726,.349,.120,.129,.128,.274,.542,.696,.351,.411,.429,.408,.209,.533,.009,9,.201,.517,0,0
Gerald Green,1986-01-26,1,2015-16,30,MIA,NBA,SG,12,110,.327,15.3,.714,.204,.061,.143,.306,.286,.343,.500,.333,.429,.200,.286,.417,1.000,.020,0,.357,.200,0,0
Gerald Green,1986-01-26,1,2016-17,31,BOS,NBA,SF,13,192,.472,20.0,.375,.125,.000,.069,.181,.625,.481,.778,,.200,.385,.467,.769,1.000,.042,3,.311,.500,0,0
Andre Drummond,1993-08-10,0,2019-20,26,TOT,NBA,C,57,1879,.533,4.3,.955,.589,.334,.027,.005,.045,.551,.662,.393,.190,.000,.143,.574,.800,.136,95,.200,.429,2,0
Andre Drummond,1993-08-10,0,2019-20,26,DET,NBA,C,49,1654,.530,4.2,.969,.580,.355,.028,.006,.031,.546,.665,.390,.158,.000,.048,.568,1.000,.135,81,.143,.000,2,0
Russell Westbrook,1988-11-12,0,2020-21,32,WAS,NBA,PG,65,2369,.439,13.2,.779,.194,.245,.117,.224,.221,.475,.650,.465,.379,.383,.315,.164,.628,.025,24,.103,.429,0,0
Russell Westbrook,1988-11-12,1,2009-10,21,OKC,NBA,PG,6,212,.473,10.5,.868,.374,.077,.220,.198,.132,.481,.559,.571,.500,.278,.417,.132,.800,.055,5,.167,.000,0,0
Jeff Green,1986-08-28,0,2015-16,29,LAC,NBA,SF,27,709,.427,11.4,.712,.296,.243,.064,.109,.288,.468,.646,.277,.471,.414,.325,.404,1.000,.045,12,.442,.324,0,0
Jeff Green,1986-08-28,0,2016-17,30,ORL,NBA,PF,69,1534,.394,14.8,.654,.233,.174,.111,.136,.346,.458,.562,.433,.419,.342,.275,.437,.943,.020,10,.176,.324,7,0
Blake Griffin,1989-03-16,0,2020-21,31,DET,NBA,PF,20,626,.365,17.3,.441,.144,.207,.045,.045,.559,.429,.656,.391,.200,.100,.315,.286,.615,.000,0,.169,.238,0,0
Blake Griffin,1989-03-16,0,2020-21,31,BRK,NBA,PF,26,560,.492,12.5,.571,.407,.138,.011,.016,.429,.574,.623,.500,.000,.333,.383,.645,.935,.101,18,.198,.313,1,0
JaMychal Green,1990-06-21,1,2015-16,25,MEM,NBA,PF,4,72,.545,9.2,.955,.455,.091,.091,.318,.045,.571,.900,.500,.000,.286,.000,.833,,.227,5,1.000,.000,0,0
JaMychal Green,1990-06-21,1,2016-17,26,MEM,NBA,PF,6,118,.472,16.7,.556,.222,.111,.028,.194,.444,.500,.750,.500,.000,.286,.438,.500,1.000,.083,3,.438,.429,1,0
Goran Dragić,1986-05-06,0,2014-15,28,TOT,NBA,"PG,SG",78,2640,.501,10.6,.742,.415,.105,.126,.096,.258,.555,.700,.381,.373,.354,.347,.383,.756,.001,1,.320,.349,0,0
Goran Dragić,1986-05-06,0,2014-15,28,PHO,NBA,SG,52,1735,.501,10.8,.726,.405,.108,.118,.096,.274,.556,.705,.356,.388,.354,.355,.434,.758,.001,1,.366,.324,0,0
Gerald Green,1986-01-26,1,2017-18,32,HOU,NBA,SG,17,272,.394,20.3,.234,.096,.085,.021,.032,.766,.455,.667,.250,.500,.333,.375,.800,.889,.032,3,.306,.500,0,0
Gerald Green,1986-01-26,1,2018-19,33,HOU,NBA,SG,11,97,.300,20.7,.275,.050,.100,.125,.000,.725,.182,.000,.000,.400,,.345,.500,.800,.000,0,.241,.571,0,0
Andre Drummond,1993-08-10,0,2019-20,26,CLE,NBA,C,8,225,.552,5.3,.867,.648,.200,.019,.000,.133,.593,.647,.429,.500,,.286,.611,.750,.143,14,.286,.750,0,0
Andre Drummond,1993-08-10,0,2020-21,27,TOT,NBA,C,46,1242,.493,3.6,.986,.589,.364,.026,.007,.014,.500,.576,.409,.200,.000,.000,.571,,.140,64,.000,,1,0
Russell Westbrook,1988-11-12,1,2010-11,22,OKC,NBA,PG,17,638,.394,11.2,.860,.315,.166,.166,.213,.140,.410,.528,.351,.333,.342,.292,.132,.286,.015,4,.104,.400,0,0
Russell Westbrook,1988-11-12,1,2011-12,23,OKC,NBA,PG,20,767,.435,12.2,.840,.295,.106,.206,.233,.160,.465,.525,.302,.417,.505,.277,.145,.611,.034,10,.123,.375,1,0
Jeff Green,1986-08-28,0,2017-18,31,CLE,NBA,PF,78,1828,.477,11.2,.725,.398,.146,.087,.095,.275,.540,.699,.367,.259,.390,.312,.583,.962,.115,63,.400,.338,8,0
Jeff Green,1986-08-28,0,2018-19,32,WAS,NBA,PF,77,2097,.475,15.9,.534,.242,.124,.080,.089,.466,.586,.771,.471,.364,.443,.347,.614,.973,.063,39,.281,.389,4,0
Blake Griffin,1989-03-16,1,2011-12,22,LAC,NBA,PF,11,393,.500,6.4,.994,.405,.381,.089,.119,.006,.503,.676,.422,.400,.250,.000,.667,,.179,25,.000,,0,0
Blake Griffin,1989-03-16,1,2012-13,23,LAC,NBA,PF,6,158,.453,7.5,1.000,.406,.250,.125,.219,.000,.453,.577,.438,.375,.286,,.621,,.094,5,,,0,0
JaMychal Green,1990-06-21,1,2018-19,28,LAC,NBA,PF,6,141,.535,15.9,.465,.302,.093,.000,.070,.535,.550,.615,.250,,.667,.522,.818,1.000,.116,5,.217,.400,0,0
JaMychal Green,1990-06-21,1,2019-20,29,LAC,NBA,PF,13,222,.564,12.0,.582,.382,.182,.000,.018,.418,.656,.714,.500,,1.000,.435,.524,1.000,.109,3,.522,.417,0,0
Goran Dragić,1986-05-06,0,2014-15,28,MIA,NBA,PG,26,905,.502,10.0,.774,.437,.099,.142,.096,.226,.552,.688,.438,.348,.355,.329,.283,.750,.000,0,.205,.467,0,0
Goran Dragić,1986-05-06,0,2015-16,29,MIA,NBA,PG,72,2363,.477,11.3,.766,.328,.142,.169,.127,.234,.527,.666,.387,.426,.459,.312,.252,.750,.001,1,.244,.260,0,0
Andre Drummond,1993-08-10,0,2020-21,27,CLE,NBA,C,25,722,.474,3.7,.979,.613,.332,.024,.011,.021,.484,.545,.397,.333,.000,.000,.533,,.129,38,.000,,1,0
Andre Drummond,1993-08-10,0,2020-21,27,LAL,NBA,C,21,520,.531,3.5,1.000,.542,.427,.031,.000,.000,.531,.644,.427,.000,,,.637,,.161,26,,,0,0
Russell Westbrook,1988-11-12,1,2012-13,24,OKC,NBA,PG,2,68,.415,12.8,.780,.293,.122,.098,.268,.220,.469,.750,.400,.500,.182,.222,.200,.000,.000,0,.000,,0,0
Russell Westbrook,1988-11-12,1,2013-14,25,OKC,NBA,PG,19,735,.420,12.3,.749,.344,.098,.148,.158,.251,.466,.555,.359,.356,.444,.280,.165,.357,.038,13,.030,.333,0,0
Jeff Green,1986-08-28,0,2019-20,33,TOT,NBA,"C,PF",48,960,.462,16.0,.468,.265,.160,.026,.017,.532,.602,.747,.436,.333,.333,.339,.670,.952,.090,27,.388,.380,7,0
Jeff Green,1986-08-28,0,2019-20,33,UTA,NBA,PF,30,553,.385,16.8,.467,.200,.200,.041,.026,.533,.451,.564,.410,.250,.200,.327,.610,.941,.062,8,.375,.410,5,0
Blake Griffin,1989-03-16,1,2013-14,24,LAC,NBA,PF,13,478,.500,9.4,.970,.359,.244,.085,.282,.030,.511,.690,.386,.500,.394,.143,.638,1.000,.081,16,.429,.333,0,0
Blake Griffin,1989-03-16,1,2014-15,25,LAC,NBA,PF,14,557,.511,7.9,.974,.401,.274,.084,.215,.026,.521,.718,.347,.391,.424,.143,.612,1.000,.106,25,.143,.000,0,0
JaMychal Green,1990-06-21,1,2020-21,30,DEN,NBA,PF,10,190,.444,12.5,.556,.467,.044,.022,.022,.444,.560,.619,.000,1.000,.000,.300,.571,1.000,.111,5,.250,.800,0,0
Goran Dragić,1986-05-06,0,2016-17,30,MIA,NBA,PG,73,2459,.475,12.5,.743,.267,.187,.177,.113,.257,.499,.610,.486,.417,.386,.405,.204,.658,.000,0,.211,.426,0,0
Goran Dragić,1986-05-06,0,2017-18,31,MIA,NBA,PG,75,2378,.450,12.3,.721,.268,.171,.176,.106,.279,.481,.632,.380,.434,.342,.370,.273,.784,.000,0,.180,.370,2,0
Andre Drummond,1993-08-10,1,2015-16,22,DET,NBA,C,4,131,.519,5.8,.981,.519,.315,.148,.000,.019,.528,.643,.412,.375,,.000,.607,,.093,5,.000,,1,0
Andre Drummond,1993-08-10,1,2018-19,25,DET,NBA,C,4,127,.444,4.1,.981,.630,.278,.056,.019,.019,.453,.529,.333,.333,.000,.000,.875,,.259,11,.000,,0,0
Russell Westbrook,1988-11-12,1,2015-16,27,OKC,NBA,PG,18,674,.405,12.6,.733,.321,.109,.155,.148,.267,.434,.524,.233,.328,.500,.324,.112,.559,.028,9,.114,.417,0,0
Russell Westbrook,1988-11-12,1,2016-17,28,OKC,NBA,PG,5,194,.388,15.0,.678,.257,.033,.178,.211,.322,.447,.513,.400,.370,.438,.265,.087,.231,.007,0,.020,.000,0,0
Jeff Green,1986-08-28,0,2019-20,33,HOU,NBA,C,18,407,.564,15.0,.470,.349,.107,.007,.007,.530,.800,.885,.500,1.000,1.000,.354,.714,.964,.128,19,.405,.344,2,0
Jeff Green,1986-08-28,0,2020-21,34,BRK,NBA,C,68,1835,.492,14.4,.528,.281,.149,.072,.026,.472,.564,.725,.329,.526,.286,.412,.728,.951,.077,39,.420,.438,3,0
Blake Griffin,1989-03-16,1,2015-16,26,LAC,NBA,PF,4,127,.377,9.6,.962,.302,.283,.075,.302,.038,.373,.563,.333,.000,.313,.500,.474,1.000,.113,6,.500,.000,0,0
Blake Griffin,1989-03-16,1,2016-17,27,LAC,NBA,PF,3,99,.490,8.7,.882,.431,.216,.039,.196,.118,.467,.682,.364,.000,.200,.667,.714,1.000,.078,4,.167,1.000,0,0
Goran Dragić,1986-05-06,0,2018-19,32,MIA,NBA,PG,36,991,.413,13.8,.621,.277,.145,.134,.065,.379,.454,.575,.365,.362,.321,.348,.295,.772,.000,0,.177,.310,0,0
Goran Dragić,1986-05-06,0,2019-20,33,MIA,NBA,PG,59,1663,.441,16.2,.533,.182,.152,.106,.093,.467,.505,.697,.391,.338,.507,.367,.338,.653,.000,0,.169,.404,1,0
Andre Drummond,1993-08-10,1,2020-21,27,LAL,NBA,C,5,105,.594,1.9,1.000,.781,.219,.000,.000,.000,.594,.600,.571,,,,.579,,.188,5,,,0,0
Russell Westbrook,1988-11-12,1,2017-18,29,OKC,NBA,PG,6,235,.398,13.5,.739,.242,.106,.211,.180,.261,.412,.538,.176,.382,.414,.357,.143,.667,.037,6,.048,.000,1,0
Russell Westbrook,1988-11-12,1,2018-19,30,OKC,NBA,PG,5,197,.360,13.1,.694,.333,.099,.108,.153,.306,.377,.459,.455,.167,.294,.324,.138,.909,.000,0,.147,.400,0,0
Jeff Green,1986-08-28,1,2009-10,23,OKC,NBA,PF,6,224,.329,12.8,.614,.386,.071,.057,.100,.386,.349,.407,.400,.000,.286,.296,.600,1.000,.071,4,.222,.500,0,0
Jeff Green,1986-08-28,1,2010-11,24,BOS,NBA,SF,9,173,.434,13.3,.698,.264,.264,.057,.113,.302,.432,.643,.286,.333,.333,.438,.688,1.000,.057,3,.688,.545,1,0
Blake Griffin,1989-03-16,1,2018-19,29,DET,NBA,PF,2,58,.462,10.9,.667,.462,.154,.051,.000,.333,.462,.500,.500,.000,,.462,.250,.833,.026,1,.000,,0,0
Blake Griffin,1989-03-16,1,2020-21,31,BRK,NBA,PF,12,318,.532,12.6,.544,.494,.051,.000,.000,.456,.651,.692,.250,,,.389,.607,.786,.114,8,.083,.000,0,0
Goran Dragić,1986-05-06,0,2020-21,34,MIA,NBA,PG,50,1337,.432,15.3,.560,.205,.164,.142,.049,.440,.479,.588,.396,.456,.370,.373,.322,.802,.000,0,.172,.548,1,0
Goran Dragić,1986-05-06,1,2009-10,23,PHO,NBA,PG,16,237,.430,14.4,.600,.280,.120,.060,.140,.400,.500,.571,.500,.500,.357,.325,.200,.462,.010,0,.175,.571,0,0
Russell Westbrook,1988-11-12,1,2019-20,31,HOU,NBA,PG,8,262,.421,11.2,.764,.336,.200,.100,.129,.236,.477,.596,.393,.357,.389,.242,.353,.625,.021,2,.242,.250,0,0
Russell Westbrook,1988-11-12,1,2020-21,32,WAS,NBA,PG,5,186,.333,13.2,.762,.202,.202,.119,.238,.238,.359,.529,.118,.500,.350,.250,.174,1.000,.048,2,.250,.200,0,0
Jeff Green,1986-08-28,1,2012-13,26,BOS,NBA,PF,6,258,.435,12.1,.741,.306,.188,.059,.188,.259,.429,.654,.250,.000,.375,.455,.370,.900,.024,2,.409,.556,0,0
Jeff Green,1986-08-28,1,2014-15,28,MEM,NBA,SF,11,298,.333,12.2,.833,.241,.250,.139,.204,.167,.356,.538,.185,.333,.364,.222,.594,.750,.019,0,.278,.600,0,0
Goran Dragić,1986-05-06,1,2015-16,29,MIA,NBA,PG,14,472,.442,11.9,.777,.311,.150,.194,.121,.223,.469,.547,.387,.450,.400,.348,.280,.500,.005,1,.217,.300,1,0
Goran Dragić,1986-05-06,1,2017-18,31,MIA,NBA,PG,5,156,.467,12.3,.720,.387,.067,.093,.187,.280,.500,.621,.200,.429,.357,.381,.444,.625,.013,1,.095,.500,0,0
Jeff Green,1986-08-28,1,2015-16,29,LAC,NBA,SF,6,159,.457,10.5,.783,.348,.217,.065,.152,.217,.472,.625,.500,.333,.143,.400,.294,1.000,.087,4,.100,1.000,0,0
Jeff Green,1986-08-28,1,2017-18,31,CLE,NBA,PF,22,523,.408,16.3,.507,.218,.120,.106,.063,.493,.514,.806,.294,.333,.222,.300,.568,1.000,.063,8,.357,.480,4,0
Goran Dragić,1986-05-06,1,2019-20,33,MIA,NBA,PG,17,553,.444,15.0,.601,.194,.172,.183,.052,.399,.509,.712,.457,.388,.357,.346,.317,.811,.000,0,.187,.300,0,0
Goran Dragić,1986-05-06,1,2020-21,34,MIA,NBA,PG,4,117,.426,17.5,.519,.148,.111,.148,.111,.481,.500,.625,.333,.500,.500,.346,.357,.778,.000,0,.346,.556,0,0
Jeff Green,1986-08-28,1,2019-20,33,HOU,NBA,C,12,341,.495,14.6,.476,.262,.184,.029,.000,.524,.571,.741,.316,.667,,.426,.607,.870,.068,6,.407,.500,0,0
Jeff Green,1986-08-28,1,2020-21,34,BRK,NBA,C,6,148,.485,16.2,.455,.273,.152,.000,.030,.545,.400,.333,.400,,1.000,.556,1.000,1.000,.061,0,.444,.250,1,0
Sekou Doumbouya,2000-12-23,0,2019-20,19,DET,NBA,PF,38,754,.390,12.9,.585,.326,.195,.030,.034,.415,.464,.545,.391,.286,.250,.286,.719,.929,.072,15,.357,.286,0,0
Isaac Bonga,1999-11-08,0,2018-19,19,LAL,NBA,PG,22,120,.152,11.1,.758,.273,.303,.121,.061,.242,.200,.444,.100,.000,.000,.000,.200,,.000,0,.250,.000,0,0
Jordan Bone,1997-11-05,0,2019-20,22,DET,NBA,PG,10,53,.250,17.8,.500,.050,.150,.250,.050,.500,.300,1.000,.000,.400,.000,.200,.667,.500,.000,0,.000,,0,0
Chris Douglas-Roberts,1987-01-08,0,2009-10,23,NJN,NBA,SF,67,1730,.445,9.1,.906,.440,.119,.124,.223,.094,.464,.556,.324,.338,.430,.259,.539,.786,.042,23,.667,.278,1,0
Joel Bolomboy,1994-01-28,0,2016-17,23,UTA,NBA,PF,12,53,.563,8.6,.750,.500,.188,.000,.063,.250,.667,.750,.667,,.000,.250,.750,1.000,.250,3,.250,.000,0,0
Zabian Dowdell,1984-09-10,0,2010-11,26,PHO,NBA,PG,24,292,.408,13.4,.920,.264,.096,.088,.472,.080,.417,.545,.167,.455,.390,.300,.167,1.000,.008,1,.300,.333,0,0
Sekou Doumbouya,2000-12-23,0,2020-21,20,DET,NBA,PF,56,869,.379,12.3,.592,.376,.167,.039,.011,.408,.485,.642,.277,.000,.000,.226,.667,1.000,.082,19,.304,.257,0,0
Isaac Bonga,1999-11-08,0,2019-20,20,WAS,NBA,SF,66,1250,.504,10.1,.697,.462,.179,.038,.017,.303,.571,.648,.476,.222,.250,.352,.559,1.000,.043,8,.380,.444,2,0
Isaac Bonga,1999-11-08,0,2020-21,21,WAS,NBA,SF,40,432,.370,16.0,.420,.160,.235,.025,.000,.580,.500,.692,.421,.000,,.277,.529,1.000,.012,1,.617,.310,0,0
Jordan Bone,1997-11-05,0,2020-21,23,ORL,NBA,PG,14,196,.426,20.8,.407,.019,.093,.019,.278,.593,.591,1.000,1.000,.000,.467,.313,.154,.500,.000,0,.313,.000,0,0
Chris Douglas-Roberts,1987-01-08,0,2010-11,24,MIL,NBA,SF,44,884,.429,11.4,.832,.322,.179,.095,.234,.168,.449,.534,.388,.385,.406,.326,.500,1.000,.018,5,.739,.353,0,0
Chris Douglas-Roberts,1987-01-08,0,2012-13,26,DAL,NBA,SG,6,63,.357,14.7,.714,.357,.143,.071,.143,.286,.500,.600,.500,.000,.500,.000,.600,,.000,0,.750,.000,1,0
Joel Bolomboy,1994-01-28,0,2017-18,24,MIL,NBA,PF,6,38,.500,6.5,.833,.667,.000,.167,.000,.167,.600,.500,,1.000,,.000,1.000,,.333,2,.000,,0,0
Joel Bolomboy,1994-01-28,1,2016-17,23,UTA,NBA,PF,2,9,.667,1.0,1.000,1.000,.000,.000,.000,.000,.667,.667,,,,,.500,,.667,1,,,0,0
Toney Douglas,1986-03-16,0,2009-10,23,NYK,NBA,PG,56,1087,.458,15.6,.552,.289,.056,.064,.143,.448,.514,.575,.500,.440,.429,.389,.315,.588,.005,2,.189,.485,3,0
Matt Bonner,1980-04-05,0,2009-10,29,SAS,NBA,PF,65,1161,.446,18.7,.379,.081,.164,.062,.073,.621,.539,.667,.525,.478,.481,.390,.500,.989,.008,3,.121,.393,0,0
Marques Bolden,1998-04-17,0,2019-20,21,CLE,NBA,C,1,3,,,,,,,,,,,,,,,,,,0,,,0,0
Jonah Bolden,1996-01-02,0,2018-19,23,PHI,NBA,PF,44,639,.494,16.3,.407,.333,.037,.019,.019,.593,.697,.796,.333,.000,.333,.354,.739,1.000,.086,13,.198,.368,0,0
Bol Bol,1999-11-16,0,2019-20,20,DEN,NBA,PF,7,87,.500,12.1,.679,.321,.143,.179,.036,.321,.526,.778,.500,.200,.000,.444,.500,1.000,.107,3,.222,.000,0,0
Isaac Bonga,1999-11-08,1,2020-21,21,WAS,NBA,SF,4,10,.000,17.9,.400,.000,.200,.200,.000,.600,.000,,.000,.000,,.000,,,.000,0,.667,.000,0,0
Andrew Bogut,1984-11-28,0,2009-10,25,MIL,NBA,C,69,2229,.520,4.3,.998,.447,.468,.069,.013,.002,.521,.634,.437,.333,.667,.000,.524,,.076,61,.000,,1,0
Bojan Bogdanović,1989-04-18,0,2014-15,25,BRK,NBA,SF,78,1854,.453,14.1,.556,.269,.130,.082,.075,.444,.531,.710,.387,.362,.326,.355,.635,.934,.026,15,.445,.439,0,0
Bogdan Bogdanović,1992-08-18,0,2017-18,25,SAC,NBA,SG,78,2175,.446,16.7,.574,.144,.128,.127,.175,.426,.485,.613,.394,.500,.437,.392,.358,.760,.004,3,.122,.475,7,0
Chris Douglas-Roberts,1987-01-08,0,2013-14,27,CHA,NBA,SF,49,1016,.440,15.4,.476,.282,.111,.044,.040,.524,.500,.634,.357,.091,.400,.386,.533,.961,.012,3,.409,.444,0,0
Chris Douglas-Roberts,1987-01-08,0,2014-15,28,LAC,NBA,SG,12,103,.238,10.3,.667,.429,.143,.048,.048,.333,.286,.444,.000,.000,.000,.143,.500,1.000,.048,1,.857,.167,0,0
Toney Douglas,1986-03-16,0,2010-11,24,NYK,NBA,SG,81,1971,.416,17.1,.493,.180,.113,.086,.114,.507,.460,.618,.353,.385,.372,.373,.339,.692,.000,0,.214,.366,3,0
Toney Douglas,1986-03-16,0,2011-12,25,NYK,NBA,PG,38,656,.324,16.2,.597,.166,.134,.124,.172,.403,.387,.542,.308,.389,.300,.231,.328,.852,.000,0,.111,.308,0,0
Matt Bonner,1980-04-05,0,2010-11,30,SAS,NBA,PF,66,1432,.464,19.3,.380,.084,.116,.070,.111,.620,.475,.710,.279,.462,.512,.457,.582,1.000,.008,3,.243,.375,0,0
Matt Bonner,1980-04-05,0,2011-12,31,SAS,NBA,PF,65,1326,.440,20.8,.286,.037,.120,.046,.083,.714,.490,.769,.452,.313,.517,.420,.653,.990,.006,1,.204,.490,0,0
Marques Bolden,1998-04-17,0,2020-21,22,CLE,NBA,C,6,29,.333,7.7,1.000,.333,.333,.333,.000,.000,.333,1.000,.000,.000,,,1.000,,.000,0,,,0,0
Jonah Bolden,1996-01-02,0,2019-20,24,TOT,NBA,C,7,47,.364,9.7,.636,.636,.000,.000,.000,.364,.571,.571,,,,.000,.500,,.182,1,.500,.000,0,0
Jonah Bolden,1996-01-02,0,2019-20,24,PHI,NBA,C,4,14,.667,8.7,.667,.667,.000,.000,.000,.333,1.000,1.000,,,,.000,1.000,,.000,0,1.000,.000,0,0
Bol Bol,1999-11-16,0,2020-21,21,DEN,NBA,PF,32,160,.431,16.1,.586,.172,.172,.121,.121,.414,.471,.900,.300,.286,.286,.375,.625,.667,.086,5,.125,.333,0,0
Bol Bol,1999-11-16,1,2019-20,20,DEN,NBA,PF,4,21,.556,17.1,.667,.111,.111,.333,.111,.333,.500,1.000,.000,.667,.000,.667,.667,.500,.111,1,.000,,0,0
Keith Bogans,1980-05-12,0,2009-10,29,SAS,NBA,SF,79,1559,.403,17.5,.342,.242,.050,.020,.030,.658,.490,.597,.200,.333,.222,.357,.540,.971,.000,0,.561,.364,2,0
Andrew Bogut,1984-11-28,0,2010-11,26,MIL,NBA,C,65,2297,.495,4.8,.995,.411,.512,.063,.008,.005,.497,.656,.403,.298,.000,.000,.482,,.089,63,.000,,1,0
Andrew Bogut,1984-11-28,0,2011-12,27,MIL,NBA,C,12,364,.449,6.0,.993,.324,.522,.096,.051,.007,.452,.750,.282,.462,.286,.000,.590,,.074,10,.000,,0,0
Andrew Bogut,1984-11-28,0,2012-13,28,GSW,NBA,C,32,786,.451,4.7,.995,.495,.435,.043,.022,.005,.448,.582,.313,.250,.500,1.000,.610,1.000,.114,17,.000,,0,0
Bojan Bogdanović,1989-04-18,0,2015-16,26,BRK,NBA,SF,79,2115,.433,14.3,.549,.258,.147,.076,.069,.451,.474,.601,.336,.316,.462,.382,.590,.907,.024,17,.402,.426,0,0
Bojan Bogdanović,1989-04-18,0,2016-17,27,TOT,NBA,SF,81,2083,.445,15.1,.536,.290,.102,.077,.067,.464,.512,.620,.395,.308,.456,.367,.509,.924,.025,18,.227,.427,0,0
Bogdan Bogdanović,1992-08-18,0,2018-19,26,SAC,NBA,SG,70,1947,.418,16.2,.569,.168,.180,.100,.122,.431,.462,.572,.413,.453,.390,.360,.383,.791,.005,3,.105,.359,3,0
Bogdan Bogdanović,1992-08-18,0,2019-20,27,SAC,NBA,SG,61,1766,.440,18.5,.424,.121,.128,.099,.076,.576,.532,.677,.459,.434,.552,.372,.358,.854,.004,2,.193,.365,1,0
Chris Douglas-Roberts,1987-01-08,1,2013-14,27,CHA,NBA,SF,4,70,.688,14.6,.500,.438,.000,.000,.063,.500,.875,.857,,,1.000,.500,.714,1.000,.000,0,.375,.333,0,0
Toney Douglas,1986-03-16,0,2012-13,26,TOT,NBA,PG,71,1289,.403,15.4,.536,.225,.139,.092,.079,.464,.424,.562,.385,.302,.243,.380,.387,.817,.002,1,.366,.430,1,1
