Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist,2P_FGA,0-3_FGA,3-10_FGA,10-16_FGA,16-3P_FGA,3P_FGA,2P_FG,0-3_FG,3-10_FG,10-16_FG,16-3P_FG,3P_FG,2P_AST,3P_AST,FGA_DUNK,FG_DUNK,FG3A_Corner3,FG_Corner3,FG3A_Heave,FG3_heave
Deandre Ayton,1998-07-23,1,2020-21,22,PHO,NBA,C,22,801,.658,4.6,1.000,.551,.312,.098,.038,.000,.658,.775,.534,.609,.111,,.838,,.184,41,,,0,0
Ömer Aşık,1986-07-04,0,2010-11,24,CHI,NBA,C,82,989,.553,2.0,1.000,.872,.121,.007,.000,.000,.553,.593,.235,1.000,,,.590,,.376,51,,,0,0
Darrell Arthur,1988-03-25,0,2009-10,21,MEM,NBA,PF,32,457,.432,8.6,.993,.370,.219,.144,.260,.007,.434,.481,.500,.429,.316,.000,.667,,.068,7,.000,,1,0
Gustavo Ayón,1985-04-01,0,2012-13,27,MIL,NBA,C,12,163,.595,4.3,1.000,.571,.286,.071,.071,.000,.595,.792,.333,.000,.667,,.640,,.048,2,,,0,0
Gustavo Ayón,1985-04-01,0,2013-14,28,ATL,NBA,C,26,429,.510,4.1,1.000,.706,.147,.078,.069,.000,.510,.528,.533,.250,.571,,.788,,.039,4,,,0,0
Carlos Arroyo,1979-07-30,0,2009-10,30,MIA,NBA,PG,72,1585,.475,16.0,.933,.115,.032,.173,.613,.067,.489,.488,.417,.554,.474,.280,.368,.714,.000,0,.600,.200,0,0
Hilton Armstrong,1984-11-11,0,2009-10,25,TOT,NBA,"C,PF",33,335,.354,6.8,.987,.456,.241,.139,.152,.013,.359,.500,.316,.182,.167,.000,.714,,.177,10,.000,,0,0
D.J. Augustin,1987-11-10,0,2010-11,23,CHA,NBA,PG,82,2757,.416,14.3,.652,.312,.109,.045,.187,.348,.461,.545,.279,.372,.447,.333,.236,.676,.000,0,.120,.375,7,0
D.J. Augustin,1987-11-10,0,2011-12,24,CHA,NBA,PG,48,1408,.376,14.4,.632,.294,.127,.064,.148,.368,.396,.490,.210,.323,.403,.341,.230,.623,.000,0,.134,.375,2,0
Jeff Ayres,1987-04-29,0,2011-12,24,IND,NBA,C,20,106,.417,7.6,1.000,.417,.250,.167,.167,.000,.417,.533,.333,.500,.167,,.800,,.250,8,,,0,0
