Name,Born,Year,Age,Team,Lg,Round,W/L,Opp,G,W,L,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP_PerG,PTS_PerG,TRB_PerG,AST_PerG
Jaylen Brown,1996-10-24,2018,21,BOS,2018,,W,MIL,7,4,3,244,50,107,17,45,8,15,6,33,10,7,3,8,21,125,.467,.378,.533,34.8,17.9,4.7,1.4
Jaylen Brown,1996-10-24,2018,21,BOS,2018,,W,PHI,4,3,1,108,23,43,10,20,5,10,3,20,5,2,4,6,14,61,.535,.500,.500,27.0,15.3,5.0,1.3
Lance Stephenson,1990-09-05,2014,23,IND,2014,,L,MIA,6,2,4,242,32,65,6,19,14,19,10,35,30,6,0,14,23,84,.492,.316,.737,40.3,14.0,5.8,5.0
Lance Stephenson,1990-09-05,2016,25,MEM,2016,,L,SAS,4,0,4,95,23,44,2,5,4,5,1,6,7,1,0,3,10,52,.523,.400,.800,23.7,13.0,1.5,1.8
Shannon Brown,1985-11-29,2010,24,LAL,2010,,W,BOS,7,4,3,84,9,20,0,3,3,3,0,6,3,0,1,0,5,21,.450,.000,1.000,12.1,3.0,0.9,0.4
Shannon Brown,1985-11-29,2011,25,LAL,2011,,W,NOH,6,4,2,98,13,33,3,13,6,6,2,13,4,1,1,4,3,35,.394,.231,1.000,16.3,5.8,2.2,0.7
Jaylen Brown,1996-10-24,2018,21,BOS,2018,,L,CLE,7,3,4,231,51,116,17,47,19,25,7,34,11,5,3,9,23,138,.440,.362,.760,33.0,19.7,4.9,1.6
Jaylen Brown,1996-10-24,2019,22,BOS,2019,,W,IND,4,4,0,117,17,29,6,14,4,9,3,27,3,1,1,7,13,44,.586,.429,.444,29.1,11.0,6.8,0.8
Lance Stephenson,1990-09-05,2017,26,IND,2017,,L,CLE,4,0,4,107,27,53,7,18,3,4,1,21,11,2,0,4,11,64,.509,.389,.750,26.8,16.0,5.3,2.8
Lance Stephenson,1990-09-05,2018,27,IND,2018,,L,CLE,7,3,4,149,30,65,8,26,5,9,3,19,20,2,1,9,20,73,.462,.308,.556,21.3,10.4,2.7,2.9
Shannon Brown,1985-11-29,2011,25,LAL,2011,,L,DAL,4,0,4,68,15,28,4,12,3,8,3,6,3,5,1,5,7,37,.536,.333,.375,17.0,9.3,1.5,0.8
Jaylen Brown,1996-10-24,2019,22,BOS,2019,,L,MIL,5,1,4,157,27,58,8,26,19,21,3,25,7,5,1,8,17,81,.466,.308,.905,31.4,16.2,5.0,1.4
Jaylen Brown,1996-10-24,2020,23,BOS,2020,,W,PHI,4,4,0,150,27,60,10,29,22,24,4,23,10,4,1,10,10,86,.450,.345,.917,37.5,21.5,5.8,2.5
Jaylen Brown,1996-10-24,2020,23,BOS,2020,,W,TOR,7,4,3,276,55,129,16,57,19,22,6,61,12,13,6,17,21,145,.426,.281,.864,39.4,20.7,8.7,1.7
Jaylen Brown,1996-10-24,2020,23,BOS,2020,,L,MIA,6,2,4,246,55,99,17,34,12,17,14,43,17,9,2,14,17,139,.556,.500,.706,41.0,23.2,7.2,2.8
Eric Moreland,1991-12-24,2019,27,TOR,2019,,W,ORL,3,3,0,11,0,1,0,0,0,0,1,5,0,0,0,0,3,0,.000,,,3.6,0.0,1.7,0.0
Eric Moreland,1991-12-24,2019,27,TOR,2019,,W,PHI,3,2,1,12,1,1,0,0,0,0,0,4,2,0,0,0,1,2,1.000,,,4.0,0.7,1.3,0.7
Eric Moreland,1991-12-24,2019,27,TOR,2019,,W,MIL,2,1,1,6,0,0,0,0,0,0,0,4,1,0,0,0,1,0,,,,2.8,0.0,2.0,0.5
Mikki Moore,1975-11-04,2009,33,BOS,2009,,W,CHI,6,3,3,49,3,6,0,0,3,4,4,10,3,1,5,1,8,9,.500,,.750,8.2,1.5,1.7,0.5
E'Twaun Moore,1989-02-25,2012,22,BOS,2012,,W,ATL,1,1,0,8,0,4,0,2,0,0,0,2,0,0,0,0,0,0,.000,.000,,7.9,0.0,2.0,0.0
Jamario Moon,1980-06-13,2009,28,MIA,2009,,L,ATL,3,2,1,40,5,5,2,2,0,2,3,9,1,1,1,2,5,12,1.000,1.000,.000,13.3,4.0,3.0,0.3
Kyle Wiltjer,1992-10-20,2017,24,HOU,2017,,L,SAS,1,1,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1.000,1.000,,5.4,3.0,0.0,0.0
Mikki Moore,1975-11-04,2009,33,BOS,2009,,L,ORL,4,2,2,17,2,4,0,0,2,2,2,5,1,1,0,0,3,6,.500,,1.000,4.2,1.5,1.3,0.3
E'Twaun Moore,1989-02-25,2012,22,BOS,2012,,W,PHI,3,2,1,6,1,2,0,0,0,0,0,0,1,0,1,1,2,2,.500,,,2.1,0.7,0.0,0.3
E'Twaun Moore,1989-02-25,2012,22,BOS,2012,,L,MIA,5,1,4,7,1,2,0,0,1,2,0,1,2,0,0,0,0,3,.500,,.500,1.3,0.6,0.2,0.4
Jamario Moon,1980-06-13,2010,29,CLE,2010,,W,CHI,5,4,1,71,10,16,7,12,0,0,1,10,2,2,5,0,6,27,.625,.583,,14.1,5.4,2.0,0.4
Jamario Moon,1980-06-13,2010,29,CLE,2010,,L,BOS,6,2,4,43,4,8,1,4,2,3,1,6,3,2,0,0,2,11,.500,.250,.667,7.1,1.8,1.0,0.5
