name,Season,Lg,Tm,G,MP,FG	,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Los Angeles Lakers,2012-13,NBA,LAL,82,23.0%,30.5%,25.9%,+.016,38.4%,34.9%,+.009,28.8%,23.3%,+.021,29.5%,31.2%,-.009,24.9%,31.1%,29.4%,32.6%,25.2%,31.1%,42.4%,42.0%,30.9%
Los Angeles Lakers,2011-12,NBA,LAL,66,-19.0%,-17.2%,-17.2%,+.000,-20.6%,-23.6%,+.013,-16.4%,-15.2%,-.007,-27.7%,-25.4%,-.024,-24.4%,-18.9%,-20.5%,-20.9%,-5.0%,-18.8%,-33.2%,-21.6%,-19.1%
Los Angeles Lakers,2010-11,NBA,LAL,82,0.0%,-1.4%,0.7%,-.009,7.3%,5.2%,+.006,-3.2%,-0.7%,-.012,-6.5%,-8.3%,+.015,9.6%,-5.8%,-1.7%,2.0%,2.1%,2.5%,-3.7%,-2.1%,-1.7%
Los Angeles Lakers,2009-10,NBA,LAL,82,0.3%,0.0%,0.2%,-.001,-11.3%,-6.8%,-.017,2.7%,2.5%,+.001,-8.4%,-8.0%,-.003,-4.7%,4.3%,1.8%,-3.3%,-9.8%,-7.4%,-9.1%,-4.4%,-2.3%
Los Angeles Clippers,2020-21,NBA,LAC,72,-0.6%,1.4%,-4.2%,+.026,-6.0%,-8.8%,+.011,4.8%,-1.2%,+.030,-13.3%,-15.7%,+.021,-14.5%,-7.4%,-9.1%,-3.5%,-5.6%,-10.1%,-8.7%,-20.9%,-1.9%
Los Angeles Clippers,2019-20,NBA,LAC,72,-12.4%,-16.9%,-13.3%,-.019,4.4%,3.6%,+.003,-23.9%,-21.6%,-.014,-20.4%,-18.2%,-.021,-16.6%,-11.9%,-13.0%,-13.5%,-20.2%,-32.1%,-6.3%,-16.4%,-15.6%
Los Angeles Clippers,2018-19,NBA,LAC,82,0.6%,3.8%,4.1%,-.001,-3.6%,0.0%,-.013,6.5%,6.3%,+.001,15.1%,15.8%,-.005,6.2%,4.4%,4.9%,-1.9%,-3.1%,7.8%,-6.3%,9.2%,4.9%
Los Angeles Clippers,2017-18,NBA,LAC,82,-0.3%,4.3%,2.8%,+.007,17.0%,15.0%,+.006,0.3%,-2.6%,+.015,-1.6%,-2.8%,+.010,4.1%,0.2%,1.1%,6.6%,21.1%,79.1%,6.5%,-1.7%,4.4%
Los Angeles Clippers,2016-17,NBA,LAC,82,-0.4%,4.9%,0.8%,+.018,16.7%,12.8%,+.012,1.7%,-3.8%,+.027,-4.1%,-6.7%,+.021,-13.5%,-5.6%,-7.6%,8.7%,-1.0%,-0.4%,-14.0%,-0.4%,4.1%
Los Angeles Clippers,2015-16,NBA,LAC,82,0.5%,1.0%,3.0%,-.008,-5.6%,-2.6%,-.011,3.0%,5.2%,-.010,-1.1%,-2.4%,+.010,11.5%,8.0%,8.9%,-8.6%,6.4%,5.7%,7.6%,4.3%,0.1%
Los Angeles Clippers,2014-15,NBA,LAC,82,-0.1%,-2.7%,-3.1%,+.001,14.8%,9.4%,+.016,-7.0%,-7.4%,+.002,0.8%,2.7%,-.014,-14.1%,2.9%,-1.9%,-0.2%,-3.9%,-13.7%,-7.1%,-8.0%,-0.8%
Los Angeles Clippers,2013-14,NBA,LAC,82,0.1%,8.3%,8.8%,-.002,-5.1%,6.5%,-.041,12.1%,9.6%,+.011,5.6%,4.8%,+.006,13.5%,11.2%,11.9%,5.3%,-5.9%,-15.2%,-4.4%,12.1%,6.7%
Los Angeles Clippers,2012-13,NBA,LAC,82,23.6%,24.4%,25.5%,-.004,36.3%,33.4%,+.008,21.3%,22.9%,-.006,17.1%,16.6%,+.003,25.1%,21.0%,22.1%,32.5%,53.0%,13.2%,36.5%,22.2%,23.8%
Los Angeles Clippers,2011-12,NBA,LAC,66,-19.6%,-25.2%,-23.8%,-.008,-21.2%,-21.1%,-.001,-26.1%,-24.6%,-.010,-25.1%,-22.6%,-.025,-22.1%,-20.6%,-21.0%,-25.1%,-39.9%,-26.7%,-14.1%,-22.6%,-24.9%
Los Angeles Clippers,2010-11,NBA,LAC,82,0.8%,-4.6%,-1.5%,-.015,10.4%,9.7%,+.002,-7.6%,-4.6%,-.016,14.8%,13.5%,+.009,4.0%,-3.2%,-1.3%,-5.1%,-3.9%,11.3%,6.2%,14.0%,-0.3%
Los Angeles Clippers,2009-10,NBA,LAC,82,-0.9%,-0.8%,-0.2%,-.003,-1.3%,1.8%,-.011,-0.7%,-0.7%,+.000,-5.9%,-6.1%,+.002,-8.6%,-6.1%,-6.8%,-1.3%,5.2%,-12.3%,-3.1%,-1.3%,-1.7%
Indiana Pacers,2020-21,NBA,IND,72,-0.9%,6.7%,1.8%,+.021,-1.1%,-7.7%,+.025,9.9%,7.7%,+.010,6.6%,7.5%,-.006,7.4%,0.4%,2.0%,11.3%,6.2%,13.7%,-0.5%,-4.9%,5.9%
Indiana Pacers,2019-20,NBA,IND,73,-10.6%,-9.3%,-8.5%,-.004,-10.2%,-6.8%,-.013,-8.9%,-9.5%,+.004,-4.2%,-8.2%,+.033,-12.2%,-6.4%,-7.8%,-16.0%,-17.1%,-21.2%,-16.6%,-16.4%,-8.6%
Indiana Pacers,2018-19,NBA,IND,82,-0.3%,-1.6%,1.5%,-.014,7.1%,5.5%,+.005,-4.9%,-0.7%,-.022,7.0%,7.2%,-.002,2.9%,1.2%,1.6%,5.3%,5.4%,-0.7%,1.0%,8.5%,0.5%
Indiana Pacers,2017-18,NBA,IND,82,-0.5%,3.7%,0.6%,+.014,2.5%,4.5%,-.007,4.1%,-1.4%,+.028,-22.1%,-18.8%,-.032,-4.7%,-2.4%,-2.9%,4.0%,-12.7%,5.2%,3.8%,-5.3%,-1.1%
Indiana Pacers,2016-17,NBA,IND,82,-0.1%,1.6%,-0.8%,+.011,25.0%,17.4%,+.022,-5.0%,-8.3%,+.017,9.0%,3.8%,+.038,0.2%,-0.8%,-0.6%,7.3%,4.3%,11.2%,-5.6%,-4.6%,4.8%
Indiana Pacers,2015-16,NBA,IND,82,0.1%,3.9%,2.6%,+.006,14.9%,18.8%,-.011,1.2%,-2.8%,+.019,-2.8%,-2.6%,-.002,9.6%,2.6%,4.2%,4.5%,2.8%,-5.2%,24.1%,-4.4%,3.5%
Indiana Pacers,2014-15,NBA,IND,82,0.4%,3.5%,-0.0%,+.015,9.9%,9.7%,+.000,2.0%,-2.9%,+.022,10.1%,10.4%,-.002,-6.4%,7.3%,3.8%,7.1%,4.0%,2.1%,-6.7%,-2.2%,5.1%
Indiana Pacers,2013-14,NBA,IND,82,1.0%,1.9%,1.9%,-.000,22.3%,16.1%,+.017,-1.9%,-1.7%,-.001,1.5%,2.3%,-.006,-5.9%,5.0%,2.0%,-1.9%,-2.9%,-17.6%,2.2%,0.9%,3.0%
Indiana Pacers,2012-13,NBA,IND,81,22.5%,21.3%,25.5%,-.014,-0.5%,6.8%,-.024,26.5%,31.3%,-.017,11.5%,6.9%,+.031,14.5%,20.2%,18.6%,20.4%,41.1%,15.3%,11.3%,24.4%,17.9%
Indiana Pacers,2011-12,NBA,IND,66,-19.2%,-24.9%,-22.4%,-.015,-13.5%,-11.5%,-.008,-27.2%,-25.3%,-.012,-27.1%,-25.0%,-.021,-14.7%,-23.7%,-21.3%,-22.6%,-29.6%,-14.8%,-13.8%,-18.8%,-24.7%
Indiana Pacers,2010-11,NBA,IND,82,0.4%,-1.3%,-0.6%,-.004,0.2%,1.3%,-.004,-1.7%,-1.0%,-.003,-8.8%,-8.1%,-.006,-3.9%,-8.2%,-7.1%,-1.4%,-6.0%,12.8%,-6.8%,2.9%,-2.8%
Indiana Pacers,2009-10,NBA,IND,82,-0.6%,-0.9%,0.2%,-.005,-10.4%,-7.5%,-.012,1.2%,2.4%,-.006,-4.5%,-3.5%,-.008,6.6%,5.3%,5.6%,-2.1%,3.0%,-6.8%,6.6%,1.0%,-2.3%
Houston Rockets,2020-21,NBA,HOU,72,-0.4%,1.0%,-2.7%,+.018,9.8%,0.4%,+.033,-2.6%,-4.6%,+.011,-1.0%,-3.8%,+.022,-11.2%,2.6%,-0.6%,2.0%,5.7%,6.8%,-9.3%,-8.4%,1.6%
Houston Rockets,2019-20,NBA,HOU,72,-12.4%,-8.1%,-7.3%,-.004,5.9%,3.2%,+.009,-12.8%,-12.8%,-.000,-13.0%,-12.2%,-.007,-10.7%,-6.4%,-7.4%,-5.7%,-4.8%,-4.1%,-5.6%,-7.6%,-7.6%
Houston Rockets,2018-19,NBA,HOU,82,0.4%,2.1%,1.3%,+.004,0.2%,3.3%,-.011,2.8%,0.2%,+.013,24.3%,20.7%,+.022,26.6%,3.2%,8.0%,5.0%,-0.3%,1.7%,3.2%,-1.8%,5.1%
Houston Rockets,2017-18,NBA,HOU,82,-0.1%,-3.9%,-3.7%,-.001,1.1%,-1.0%,+.007,-5.5%,-5.0%,-.003,-15.1%,-11.5%,-.032,-19.1%,0.1%,-4.6%,-7.2%,-12.6%,-11.2%,-3.3%,-0.2%,-5.2%
Houston Rockets,2016-17,NBA,HOU,82,-0.3%,5.5%,4.4%,+.005,3.0%,8.3%,-.018,6.3%,2.6%,+.018,-7.2%,-9.9%,+.022,-9.5%,1.7%,-1.3%,-1.8%,-5.0%,1.2%,-9.2%,-9.4%,3.0%
Houston Rockets,2015-16,NBA,HOU,82,0.1%,3.5%,-0.1%,+.016,31.6%,17.3%,+.039,-3.3%,-6.5%,+.016,5.1%,4.5%,+.005,-0.3%,2.6%,1.8%,15.0%,1.1%,-7.6%,1.3%,6.8%,5.8%
Houston Rockets,2014-15,NBA,HOU,82,-0.1%,-3.3%,-3.3%,-.000,-9.2%,-0.4%,-.031,-1.7%,-4.3%,+.013,4.0%,4.8%,-.005,-0.4%,7.5%,5.2%,-3.8%,3.1%,-5.0%,16.8%,-13.2%,-2.5%
Houston Rockets,2013-14,NBA,HOU,82,0.3%,0.4%,3.0%,-.011,0.8%,5.1%,-.015,0.3%,2.3%,-.009,1.5%,4.1%,-.019,11.5%,-3.9%,0.0%,-2.0%,1.6%,-7.6%,-5.0%,19.1%,0.6%
Houston Rockets,2012-13,NBA,HOU,82,23.1%,28.7%,29.1%,-.001,79.1%,58.3%,+.043,19.9%,21.4%,-.006,20.3%,18.9%,+.009,20.2%,25.3%,23.9%,40.7%,40.0%,46.5%,24.5%,37.8%,30.1%
Houston Rockets,2011-12,NBA,HOU,66,-19.2%,-24.2%,-22.2%,-.012,-17.6%,-9.1%,-.034,-25.3%,-25.1%,-.001,-25.2%,-23.7%,-.015,-23.7%,-20.6%,-21.4%,-22.6%,-15.8%,-24.3%,-13.6%,-30.7%,-24.1%
Houston Rockets,2010-11,NBA,HOU,82,-0.1%,0.9%,2.5%,-.007,-8.4%,-7.0%,-.005,2.6%,4.8%,-.011,4.2%,1.9%,+.017,9.1%,-3.0%,0.0%,-0.5%,-1.5%,-15.6%,-6.8%,-4.7%,1.0%
Houston Rockets,2009-10,NBA,HOU,82,0.5%,8.2%,1.1%,+.031,5.4%,3.5%,+.006,8.7%,0.5%,+.038,13.0%,10.8%,+.015,0.2%,9.7%,7.2%,5.9%,1.5%,22.3%,19.3%,8.9%,8.8%
Golden State Warriors,2020-21,NBA,GSW,72,10.0%,5.6%,11.2%,-.024,1.4%,9.7%,-.030,7.6%,12.2%,-.022,28.1%,29.0%,-.005,16.3%,11.7%,12.7%,0.8%,5.8%,-2.8%,6.6%,7.5%,8.5%
Golden State Warriors,2019-20,NBA,GSW,65,-20.6%,-17.3%,-22.9%,+.032,-8.0%,-17.9%,+.042,-21.0%,-25.8%,+.033,-27.5%,-28.4%,+.010,-25.4%,-14.2%,-16.9%,-14.6%,-14.9%,8.8%,-8.1%,-18.3%,-18.0%
Golden State Warriors,2018-19,NBA,GSW,82,0.4%,0.6%,1.2%,-.003,12.0%,15.1%,-.010,-3.4%,-5.4%,+.010,12.1%,10.0%,+.015,-0.8%,6.1%,4.3%,2.8%,-12.1%,-2.0%,-6.0%,5.6%,3.5%
Golden State Warriors,2017-18,NBA,GSW,82,-0.3%,3.6%,0.9%,+.012,15.7%,5.1%,+.033,-0.0%,-0.9%,+.004,-5.6%,-5.1%,-.004,-7.3%,-0.5%,-2.3%,3.9%,1.7%,-3.8%,-7.6%,-4.5%,3.1%
Golden State Warriors,2016-17,NBA,GSW,82,-0.5%,-0.2%,-0.3%,+.000,15.2%,18.1%,-.008,-4.1%,-6.8%,+.014,-4.8%,-5.4%,+.005,2.8%,-2.2%,-0.9%,2.1%,-0.7%,-6.8%,7.3%,-2.4%,0.1%
Golden State Warriors,2015-16,NBA,GSW,82,0.8%,5.2%,3.5%,+.007,8.1%,9.7%,-.005,4.5%,1.4%,+.014,-0.7%,0.1%,-.006,-2.7%,-1.0%,-1.5%,6.1%,4.4%,14.7%,-10.8%,5.6%,4.3%
Golden State Warriors,2014-15,NBA,GSW,82,-0.5%,0.4%,2.4%,-.008,4.0%,6.1%,-.007,-0.4%,1.2%,-.008,-0.9%,-0.6%,-.002,9.7%,0.7%,2.9%,2.1%,4.8%,-14.3%,7.9%,-2.7%,0.4%
Golden State Warriors,2013-14,NBA,GSW,82,0.1%,-1.0%,-0.5%,-.002,-13.4%,-12.7%,-.003,2.3%,4.1%,-.008,5.7%,3.3%,+.017,-3.2%,2.9%,1.3%,-12.8%,-3.1%,-14.3%,11.0%,0.8%,-0.8%
Golden State Warriors,2012-13,NBA,GSW,82,24.4%,24.0%,28.0%,-.014,40.4%,48.0%,-.019,20.1%,21.9%,-.007,13.7%,13.5%,+.001,4.4%,20.4%,15.8%,26.5%,34.3%,21.6%,13.5%,43.5%,23.1%
Golden State Warriors,2011-12,NBA,GSW,66,-19.7%,-22.4%,-20.0%,-.014,-17.5%,-19.2%,+.008,-23.5%,-20.2%,-.021,-26.6%,-23.7%,-.029,-17.3%,-17.8%,-17.6%,-24.7%,-25.7%,-6.8%,-26.1%,-27.6%,-23.0%
Golden State Warriors,2010-11,NBA,GSW,82,0.5%,-6.9%,-3.5%,-.017,0.0%,4.8%,-.017,-8.3%,-5.7%,-.014,-4.2%,-5.4%,+.009,-4.5%,-7.7%,-6.8%,2.5%,4.2%,-13.5%,-8.2%,-13.9%,-6.0%
Golden State Warriors,2009-10,NBA,GSW,82,-0.8%,0.2%,-3.3%,+.017,-2.6%,-1.1%,-.006,0.8%,-3.9%,+.024,0.2%,1.9%,-.013,-5.6%,5.5%,2.1%,-0.1%,-0.3%,-1.7%,17.3%,-8.8%,0.1%
Detroit Pistons,2020-21,NBA,DET,72,9.2%,7.7%,8.6%,-.004,15.9%,15.8%,+.000,4.8%,4.9%,-.000,13.9%,16.5%,-.018,7.3%,12.3%,11.1%,9.8%,6.4%,13.6%,8.8%,12.3%,9.4%
Detroit Pistons,2019-20,NBA,DET,66,-19.6%,-15.4%,-17.3%,+.011,-10.3%,-14.3%,+.016,-17.0%,-18.7%,+.011,-27.1%,-29.2%,+.022,-10.6%,-22.2%,-19.8%,-16.2%,-4.1%,-11.9%,-19.9%,-25.2%,-16.9%
Detroit Pistons,2018-19,NBA,DET,82,0.3%,2.0%,-0.3%,+.011,-13.4%,-9.9%,-.014,8.1%,5.2%,+.015,22.4%,25.8%,-.021,-1.2%,0.0%,-0.2%,-6.0%,-5.2%,5.3%,-5.1%,15.7%,3.3%
Detroit Pistons,2017-18,NBA,DET,82,0.0%,2.0%,2.3%,-.002,18.4%,20.4%,-.006,-3.3%,-5.7%,+.013,-10.8%,-10.3%,-.004,15.2%,-1.0%,2.0%,7.0%,8.3%,17.4%,16.2%,5.4%,1.4%
Detroit Pistons,2016-17,NBA,DET,82,-0.4%,-1.2%,-1.1%,-.001,28.7%,25.0%,+.011,-8.1%,-9.4%,+.007,-0.4%,0.0%,-.003,-9.5%,3.5%,0.8%,9.2%,-5.5%,-7.4%,-4.8%,-19.1%,1.1%
Detroit Pistons,2015-16,NBA,DET,82,0.3%,2.4%,1.3%,+.005,-6.1%,-6.1%,+.000,4.7%,3.9%,+.004,3.0%,1.6%,+.011,-17.3%,0.8%,-3.6%,-9.4%,1.9%,-6.4%,-4.1%,11.9%,1.9%
Detroit Pistons,2014-15,NBA,DET,82,0.3%,-3.2%,-0.0%,-.015,-7.0%,-4.4%,-.010,-2.1%,1.6%,-.019,-11.8%,-13.6%,+.016,-3.9%,4.9%,2.6%,-2.6%,-14.6%,-3.0%,-6.8%,-6.8%,-5.0%
Detroit Pistons,2013-14,NBA,DET,82,-0.1%,5.0%,2.5%,+.011,13.1%,11.7%,+.004,3.0%,-0.6%,+.018,7.1%,7.9%,-.006,0.2%,3.9%,2.9%,8.9%,-3.0%,-14.6%,9.2%,4.2%,5.9%
Detroit Pistons,2012-13,NBA,DET,82,24.1%,28.5%,29.3%,-.003,52.9%,50.4%,+.006,23.7%,23.5%,+.001,19.5%,20.1%,-.004,29.6%,26.6%,27.4%,23.7%,22.7%,35.6%,17.4%,27.0%,28.4%
Detroit Pistons,2011-12,NBA,DET,66,-19.7%,-23.5%,-19.6%,-.024,-24.5%,-23.8%,-.003,-23.3%,-18.4%,-.032,-22.7%,-22.6%,-.001,-18.8%,-19.6%,-19.4%,-22.3%,-0.9%,-8.7%,-17.3%,-17.0%,-23.4%
Detroit Pistons,2010-11,NBA,DET,82,0.5%,4.9%,3.8%,+.005,-7.9%,-3.5%,-.017,7.9%,6.1%,+.009,-7.8%,-7.6%,-.001,6.4%,2.1%,3.2%,0.6%,3.5%,-5.0%,-1.2%,-9.2%,1.5%
Detroit Pistons,2009-10,NBA,DET,82,-0.6%,3.1%,-3.3%,+.030,30.6%,23.3%,+.021,-1.8%,-9.6%,+.041,3.2%,4.2%,-.007,-5.5%,-1.3%,-2.4%,15.0%,19.1%,17.3%,21.8%,5.6%,4.6%
Denver Nuggets,2020-21,NBA,DEN,72,-1.5%,-1.2%,-2.6%,+.006,5.5%,3.9%,+.006,-4.2%,-6.7%,+.015,-1.4%,-3.3%,+.014,-11.4%,-2.7%,-4.7%,0.6%,2.9%,0.3%,-2.6%,-7.7%,-0.5%
Denver Nuggets,2019-20,NBA,DEN,73,-10.1%,-10.1%,-10.9%,+.004,-0.2%,-5.5%,+.019,-13.8%,-14.1%,+.002,-9.1%,-9.8%,+.006,-7.9%,-11.5%,-10.6%,-8.1%,-13.9%,-20.4%,-6.1%,-10.8%,-8.9%
Denver Nuggets,2018-19,NBA,DEN,82,-0.8%,-4.1%,-0.4%,-.018,-0.7%,10.7%,-.039,-5.4%,-6.0%,+.003,11.2%,9.0%,+.015,-0.1%,2.8%,2.1%,-0.6%,-6.7%,4.1%,-1.9%,-1.4%,-1.7%
Denver Nuggets,2017-18,NBA,DEN,82,0.6%,-2.0%,-1.9%,-.001,10.5%,9.8%,+.002,-5.8%,-6.8%,+.006,-12.0%,-6.9%,-.044,3.9%,1.4%,2.0%,2.8%,-4.0%,-3.2%,15.2%,2.8%,-2.4%
Denver Nuggets,2016-17,NBA,DEN,82,-0.4%,8.5%,5.0%,+.016,7.2%,5.9%,+.004,9.0%,4.6%,+.021,-5.9%,-8.4%,+.021,-3.6%,-4.6%,-4.4%,2.5%,3.2%,-21.9%,-12.5%,-3.4%,5.9%
Denver Nuggets,2015-16,NBA,DEN,82,-0.3%,0.6%,-0.1%,+.003,19.5%,11.5%,+.025,-4.1%,-4.2%,+.000,-9.7%,-11.3%,+.013,-11.1%,-3.5%,-5.4%,1.6%,8.0%,2.6%,-4.7%,0.8%,-0.0%
Denver Nuggets,2014-15,NBA,DEN,82,0.6%,-2.3%,-2.5%,+.001,4.3%,5.7%,-.005,-3.8%,-5.1%,+.007,-0.1%,1.8%,-.015,-3.3%,5.0%,2.8%,2.8%,-12.0%,9.8%,-0.1%,-4.5%,-1.4%
Denver Nuggets,2013-14,NBA,DEN,82,-0.8%,3.7%,0.9%,+.013,-11.9%,-9.0%,-.012,8.2%,4.5%,+.017,21.8%,16.7%,+.032,-8.8%,11.5%,5.4%,-4.8%,5.5%,-17.1%,-9.7%,0.2%,5.4%
Denver Nuggets,2012-13,NBA,DEN,82,24.1%,22.8%,26.1%,-.012,20.3%,27.2%,-.021,23.6%,25.8%,-.008,32.0%,37.0%,-.028,39.7%,24.0%,28.3%,26.7%,25.6%,26.2%,26.9%,22.2%,24.0%
Denver Nuggets,2011-12,NBA,DEN,66,-18.6%,-19.4%,-19.0%,-.002,-0.9%,-11.1%,+.040,-23.6%,-21.6%,-.013,-33.1%,-33.4%,+.003,-15.5%,-23.6%,-21.6%,-16.0%,-14.2%,-10.0%,-8.8%,-22.1%,-20.7%
Denver Nuggets,2010-11,NBA,DEN,82,-0.4%,2.1%,1.6%,+.002,10.1%,11.8%,-.005,0.5%,-1.3%,+.009,-9.2%,-7.7%,-.012,-9.5%,0.5%,-2.3%,5.6%,5.7%,11.4%,-8.7%,-4.1%,0.3%
Denver Nuggets,2009-10,NBA,DEN,82,0.3%,4.1%,0.4%,+.016,-13.0%,-8.8%,-.017,8.5%,3.4%,+.023,-2.7%,-0.9%,-.014,-3.6%,5.1%,2.5%,-1.9%,-10.8%,-2.0%,-2.4%,-0.1%,1.4%
Dallas Mavericks,2020-21,NBA,DAL,72,-4.8%,-8.2%,-8.7%,+.003,0.7%,-3.0%,+.013,-11.9%,-12.3%,+.002,3.2%,2.7%,+.003,-10.0%,-6.3%,-7.1%,-9.1%,0.4%,-15.1%,1.3%,-9.7%,-5.6%
Dallas Mavericks,2019-20,NBA,DAL,75,-8.1%,-6.4%,-6.1%,-.001,0.1%,-1.9%,+.007,-8.8%,-8.5%,-.002,-14.3%,-12.4%,-.016,-6.5%,-7.6%,-7.3%,-10.8%,-18.4%,-15.5%,-15.9%,-16.0%,-6.9%
Dallas Mavericks,2018-19,NBA,DAL,82,-0.1%,4.3%,6.5%,-.010,5.0%,10.6%,-.018,4.0%,4.2%,-.001,5.5%,2.7%,+.020,15.3%,-6.2%,-2.0%,4.3%,8.2%,-0.3%,-5.5%,18.8%,4.5%
Dallas Mavericks,2017-18,NBA,DAL,82,0.1%,6.1%,6.1%,-.000,10.9%,16.2%,-.017,4.4%,1.3%,+.016,-6.0%,-4.0%,-.016,-0.3%,3.6%,2.8%,10.7%,11.0%,31.8%,-8.0%,0.8%,4.5%
Dallas Mavericks,2016-17,NBA,DAL,82,-1.1%,-3.5%,-7.1%,+.018,6.1%,-4.4%,+.038,-6.4%,-8.3%,+.010,2.1%,-2.5%,+.034,-16.2%,1.2%,-2.8%,-3.2%,-13.3%,-22.9%,7.3%,-9.4%,-1.7%
Dallas Mavericks,2015-16,NBA,DAL,82,0.6%,0.9%,0.6%,+.001,0.3%,6.7%,-.022,1.1%,-1.9%,+.015,-2.3%,-0.3%,-.015,-13.7%,3.9%,-0.8%,-1.6%,2.5%,15.6%,-14.7%,-3.2%,0.3%
Dallas Mavericks,2014-15,NBA,DAL,82,0.3%,0.7%,3.9%,-.014,9.3%,7.7%,+.005,-1.7%,2.3%,-.020,-7.5%,-6.9%,-.005,6.7%,8.1%,7.7%,1.2%,-5.2%,9.0%,2.1%,11.2%,-0.1%
Dallas Mavericks,2013-14,NBA,DAL,82,-0.8%,0.9%,-3.1%,+.019,5.6%,5.5%,+.000,-0.3%,-6.2%,+.030,-2.3%,-2.9%,+.005,-4.3%,-6.6%,-6.0%,0.2%,-9.0%,-15.3%,9.2%,5.6%,0.7%
Dallas Mavericks,2012-13,NBA,DAL,82,24.4%,30.7%,27.8%,+.010,35.7%,30.8%,+.013,29.4%,26.8%,+.009,43.4%,42.8%,+.003,35.9%,26.6%,29.0%,33.6%,24.4%,28.3%,23.8%,27.5%,33.3%
Dallas Mavericks,2011-12,NBA,DAL,66,-18.5%,-21.7%,-19.0%,-.015,-6.9%,-7.6%,+.003,-24.7%,-22.3%,-.015,-20.5%,-20.4%,-.000,-17.6%,-11.6%,-13.2%,-20.0%,-10.0%,-12.5%,-12.8%,-26.5%,-20.5%
Dallas Mavericks,2010-11,NBA,DAL,82,-0.9%,-3.6%,-2.2%,-.006,-3.2%,-2.3%,-.003,-3.6%,-2.2%,-.007,-2.1%,-1.0%,-.008,-4.6%,-5.1%,-5.0%,1.8%,10.7%,-10.1%,-6.8%,-0.1%,-3.3%
Dallas Mavericks,2009-10,NBA,DAL,82,0.4%,1.2%,0.8%,+.002,1.5%,9.9%,-.028,1.1%,-1.5%,+.013,-7.9%,-3.0%,-.040,4.3%,3.3%,3.6%,3.0%,-4.4%,0.9%,12.3%,0.4%,-0.5%
Cleveland Cavaliers,2020-21,NBA,CLE,72,10.8%,6.1%,7.5%,-.006,11.1%,8.9%,+.007,4.1%,6.6%,-.013,19.7%,17.9%,+.012,12.5%,13.1%,13.0%,7.6%,0.0%,3.2%,22.4%,13.6%,8.4%
Cleveland Cavaliers,2019-20,NBA,CLE,65,-20.4%,-19.4%,-18.7%,-.004,-18.3%,-17.3%,-.005,-19.9%,-19.5%,-.002,-26.1%,-25.9%,-.003,-19.1%,-24.0%,-22.9%,-19.4%,7.9%,-10.2%,-17.4%,-19.8%,-20.2%
Cleveland Cavaliers,2018-19,NBA,CLE,82,0.1%,3.2%,-1.2%,+.021,2.9%,-0.2%,+.012,3.3%,-1.8%,+.028,7.8%,5.8%,+.014,-3.7%,2.5%,1.1%,-0.7%,-7.3%,35.0%,-7.5%,-6.1%,3.8%
Cleveland Cavaliers,2017-18,NBA,CLE,82,-0.8%,2.9%,-0.6%,+.016,12.5%,10.3%,+.007,-0.4%,-5.9%,+.029,-5.6%,-3.4%,-.017,-10.0%,1.5%,-1.3%,4.8%,2.5%,-2.6%,7.0%,0.4%,2.6%
Cleveland Cavaliers,2016-17,NBA,CLE,82,0.1%,10.4%,8.1%,+.009,31.4%,26.4%,+.014,4.7%,1.2%,+.017,-7.8%,-11.4%,+.030,18.7%,4.6%,7.8%,15.3%,1.4%,-3.6%,-5.4%,0.0%,9.0%
Cleveland Cavaliers,2015-16,NBA,CLE,82,0.4%,-3.3%,-1.7%,-.007,2.1%,0.8%,+.004,-4.6%,-2.6%,-.011,13.5%,13.9%,-.002,-14.1%,4.7%,-0.2%,-11.0%,-8.1%,-1.6%,0.0%,0.3%,-0.3%
Cleveland Cavaliers,2014-15,NBA,CLE,82,-0.8%,0.8%,0.0%,+.003,-17.1%,-11.3%,-.024,6.6%,5.0%,+.008,-11.1%,-9.7%,-.012,5.2%,-6.1%,-3.4%,-3.1%,9.4%,-20.2%,-4.5%,5.4%,-2.8%
Cleveland Cavaliers,2013-14,NBA,CLE,82,1.0%,-0.4%,4.9%,-.024,25.4%,27.1%,-.005,-6.7%,-2.5%,-.022,-7.1%,-9.3%,+.018,-5.4%,3.3%,1.1%,3.8%,-5.9%,-17.7%,-8.4%,-1.0%,0.3%
Cleveland Cavaliers,2012-13,NBA,CLE,82,23.6%,22.6%,20.2%,+.009,36.2%,32.6%,+.010,19.7%,16.5%,+.014,34.2%,35.7%,-.009,18.2%,23.6%,22.2%,28.6%,19.1%,36.9%,36.2%,16.9%,25.4%
Cleveland Cavaliers,2011-12,NBA,CLE,66,-19.2%,-21.5%,-20.2%,-.008,-32.5%,-23.4%,-.049,-18.7%,-19.2%,+.003,-23.9%,-22.7%,-.011,-15.9%,-22.5%,-20.9%,-23.0%,-15.3%,-16.4%,-17.5%,-21.0%,-22.8%
Cleveland Cavaliers,2010-11,NBA,CLE,82,-0.1%,10.1%,2.6%,+.033,26.7%,6.8%,+.065,6.5%,1.3%,+.024,-0.4%,-0.7%,+.002,12.6%,13.1%,13.0%,19.4%,14.2%,50.5%,6.3%,2.3%,9.3%
