Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Luc Mbah a Moute,1986-09-09,0,2010-11,24,MIL,NBA,PF,79,52,2093,3.4,7.4,.463,0.0,0.1,.000,3.4,7.2,.470,2.3,3.2,.707,2.9,4.3,7.2,1.2,1.2,0.5,1.3,3.1,9.1
Luc Mbah a Moute,1986-09-09,0,2011-12,25,MIL,NBA,PF,43,22,1009,4.7,9.3,.510,0.0,0.1,.250,4.7,9.2,.514,2.4,3.7,.641,2.7,5.4,8.1,1.0,1.4,0.8,1.4,3.3,11.9
Tyrese Maxey,2000-11-04,1,2020-21,20,PHI,NBA,SG,12,0,156,6.7,15.2,.439,0.9,2.8,.333,5.8,12.5,.463,3.2,5.1,.636,0.2,4.8,5.1,3.7,0.7,1.4,1.2,3.7,17.5
James Michael McAdoo,1993-01-04,1,2016-17,24,GSW,NBA,PF,13,0,56,5.8,10.9,.529,1.3,3.2,.400,4.5,7.7,.583,2.6,3.9,.667,3.2,5.1,8.4,0.0,1.3,1.3,0.6,3.2,15.4
Jason Maxiell,1983-02-18,0,2009-10,26,DET,NBA,C,76,29,1550,4.9,9.6,.511,0.0,0.0,.000,4.9,9.6,.512,2.1,3.6,.574,3.7,5.6,9.3,0.9,0.8,0.9,1.6,4.1,11.9
Mangok Mathiang,1992-10-08,0,2017-18,25,CHO,NBA,C,4,0,20,7.2,12.6,.571,0.0,0.0,,7.2,12.6,.571,0.0,1.8,.000,5.4,12.6,18.0,0.0,1.8,0.0,0.0,9.0,14.4
Garrison Mathews,1996-10-24,0,2019-20,23,WAS,NBA,SG,18,0,227,3.8,8.9,.429,3.0,7.3,.413,0.8,1.6,.500,4.9,5.4,.912,1.0,2.9,3.8,1.6,1.3,0.2,1.3,5.1,15.5
Wesley Matthews,1986-10-14,0,2009-10,23,UTA,NBA,SG,82,48,2025,4.9,10.0,.483,1.1,2.9,.382,3.7,7.1,.525,2.8,3.4,.829,0.9,2.5,3.4,2.2,1.1,0.3,1.7,2.7,13.7
O.J. Mayo,1987-11-05,0,2012-13,25,DAL,NBA,SG,82,82,2913,5.7,12.7,.449,1.8,4.3,.407,3.9,8.4,.471,2.4,2.9,.820,0.4,3.2,3.6,4.5,1.1,0.3,2.6,2.4,15.5
O.J. Mayo,1987-11-05,0,2013-14,26,MIL,NBA,SG,52,23,1346,6.0,14.7,.407,2.2,6.1,.370,3.7,8.6,.433,2.0,2.4,.864,0.6,2.7,3.3,3.0,0.7,0.3,2.5,3.0,16.3
O.J. Mayo,1987-11-05,0,2014-15,27,MIL,NBA,SG,71,15,1697,6.3,14.9,.422,2.1,5.9,.357,4.2,9.0,.465,2.4,2.9,.827,0.6,3.3,4.0,4.2,1.2,0.4,2.7,3.5,17.1
Eric Maynor,1987-06-11,0,2010-11,23,OKC,NBA,PG,82,0,1200,4.0,10.0,.402,1.1,2.9,.385,2.9,7.1,.409,1.3,1.8,.729,0.7,2.9,3.6,7.1,1.0,0.2,2.3,2.9,10.4
Eric Maynor,1987-06-11,0,2011-12,24,OKC,NBA,PG,9,0,137,3.7,10.2,.359,1.6,4.5,.353,2.1,5.8,.364,1.1,1.1,1.000,0.8,2.6,3.4,5.8,1.3,0.0,2.9,3.4,10.0
Eric Maynor,1987-06-11,0,2012-13,25,TOT,NBA,"PG,SG",64,0,963,4.0,10.5,.377,1.3,3.6,.354,2.7,6.9,.389,1.7,2.3,.726,0.3,1.4,1.7,6.8,0.8,0.0,3.0,2.1,10.9
Luc Mbah a Moute,1986-09-09,0,2012-13,26,MIL,NBA,SF,58,45,1326,4.1,10.2,.401,0.4,1.0,.351,3.7,9.2,.406,2.0,3.4,.571,2.4,4.5,7.0,1.5,1.1,0.4,1.9,2.2,10.5
Luc Mbah a Moute,1986-09-09,0,2013-14,27,TOT,NBA,"PF,SF",64,7,1003,3.1,6.9,.451,0.1,0.6,.235,3.0,6.3,.472,1.7,2.4,.687,2.0,3.2,5.2,1.3,1.1,0.5,1.4,2.4,8.0
Trey Lyles,1995-11-05,0,2015-16,20,UTA,NBA,PF,80,33,1382,5.0,11.4,.438,1.3,3.3,.383,3.7,8.0,.461,1.5,2.1,.695,1.5,6.3,7.8,1.5,0.7,0.5,1.7,3.0,12.7
Jason Maxiell,1983-02-18,0,2010-11,27,DET,NBA,PF,57,14,930,3.6,7.3,.492,0.0,0.0,,3.6,7.3,.492,2.0,3.8,.515,2.6,4.1,6.7,0.7,0.9,0.8,1.7,3.6,9.2
