Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Reggie Perry,2000-03-21,0,2020-21,20,BRK,NBA,PF,26,0,211,5.5,13.3,.410,0.7,3.6,.190,4.8,9.7,.491,1.7,2.2,.769,4.6,7.8,12.5,2.4,1.0,1.0,2.6,6.8,13.3
London Perrantes,1994-10-03,0,2017-18,23,CLE,NBA,PG,14,0,66,1.1,7.1,.154,0.0,1.6,.000,1.1,5.5,.200,1.6,2.7,.600,0.5,1.6,2.2,2.7,1.1,0.5,0.5,3.3,3.8
Reggie Perry,2000-03-21,1,2020-21,20,BRK,NBA,PF,5,0,22,11.5,21.3,.538,3.3,8.2,.400,8.2,13.1,.625,0.0,0.0,,6.5,3.3,9.8,1.6,1.6,0.0,4.9,6.5,26.2
Norvel Pelle,1993-02-03,0,2019-20,26,PHI,NBA,C,24,0,232,3.9,7.4,.521,0.0,0.2,.000,3.9,7.3,.532,1.1,2.2,.500,3.1,8.1,11.2,1.2,0.5,4.8,2.8,8.5,8.8
Nikola Peković,1986-01-03,0,2010-11,25,MIN,NBA,C,65,11,887,5.5,10.7,.517,0.0,0.0,,5.5,10.7,.517,3.5,4.6,.763,3.7,4.2,7.8,1.1,0.7,1.4,3.7,7.3,14.6
Freddie Gillespie,1997-06-14,0,2020-21,23,TOR,NBA,PF,20,2,392,4.0,7.7,.524,0.0,0.0,,4.0,7.7,.524,2.1,3.0,.697,3.9,5.1,8.9,0.8,1.2,1.8,1.1,3.9,10.2
Kendrick Perkins,1984-11-10,0,2009-10,25,BOS,NBA,C,78,78,2154,5.2,8.7,.602,0.0,0.1,.000,5.2,8.7,.605,2.7,4.7,.582,2.6,7.4,9.9,1.3,0.4,2.2,2.8,3.7,13.2
Manu Ginóbili,1977-07-28,0,2009-10,32,SAS,NBA,SG,75,21,2150,6.7,15.1,.441,2.2,5.9,.377,4.5,9.3,.481,5.2,5.9,.870,1.1,3.6,4.8,6.2,1.7,0.4,2.6,2.6,20.7
Harry Giles,1998-04-22,0,2018-19,20,SAC,NBA,PF,58,0,820,7.7,15.3,.503,0.0,0.3,.000,7.7,15.0,.512,2.5,4.0,.637,2.9,6.8,9.7,3.7,1.4,1.0,3.2,6.6,17.9
Trey Gilder,1985-01-24,0,2009-10,25,MEM,NBA,SF,2,0,5,7.2,7.2,1.000,0.0,0.0,,7.2,7.2,1.000,0.0,0.0,,0.0,7.2,7.2,0.0,7.2,0.0,0.0,0.0,14.4
J.R. Giddens,1985-02-13,0,2009-10,24,TOT,NBA,SF,32,1,239,4.2,9.0,.467,0.0,1.5,.000,4.2,7.5,.560,2.0,3.5,.565,2.4,5.3,7.7,2.0,1.4,0.3,2.6,4.4,10.4
Anthony Gill,1992-10-17,0,2020-21,28,WAS,NBA,PF,26,4,218,5.0,9.9,.500,1.2,4.0,.292,3.8,5.9,.639,2.1,2.6,.813,2.6,5.8,8.4,1.8,1.7,0.7,1.3,4.5,13.2
Shai Gilgeous-Alexander,1998-07-12,0,2018-19,20,LAC,NBA,PG,82,73,2174,5.6,11.9,.476,0.8,2.3,.367,4.8,9.6,.503,2.6,3.2,.800,0.9,2.9,3.8,4.5,1.6,0.7,2.3,2.9,14.7
Norvel Pelle,1993-02-03,0,2020-21,27,TOT,NBA,C,13,0,84,3.4,6.4,.533,0.0,0.0,,3.4,6.4,.533,1.7,2.6,.667,2.6,5.6,8.1,0.9,0.4,3.9,1.3,6.0,8.6
Norvel Pelle,1993-02-03,0,2020-21,27,BRK,NBA,C,3,0,28,3.9,9.0,.429,0.0,0.0,,3.9,9.0,.429,0.0,0.0,,3.9,5.1,9.0,0.0,0.0,3.9,3.9,11.6,7.7
Norvel Pelle,1993-02-03,0,2020-21,27,SAC,NBA,C,1,0,4,0.0,9.0,.000,0.0,0.0,,0.0,9.0,.000,27.0,36.0,.750,9.0,0.0,9.0,9.0,0.0,0.0,0.0,9.0,27.0
Nikola Peković,1986-01-03,0,2011-12,26,MIN,NBA,C,47,35,1264,7.3,12.9,.564,0.0,0.0,,7.3,12.9,.564,4.0,5.3,.743,5.2,4.7,9.9,0.9,0.8,0.9,2.5,2.8,18.5
Nikola Peković,1986-01-03,0,2012-13,27,MIN,NBA,C,62,62,1959,7.1,13.6,.520,0.0,0.0,,7.1,13.6,.520,4.4,6.0,.744,4.2,5.8,10.0,1.0,0.8,0.9,1.9,2.6,18.6
Nikola Peković,1986-01-03,0,2013-14,28,MIN,NBA,C,54,54,1663,8.2,15.2,.541,0.0,0.0,,8.2,15.2,.541,4.0,5.4,.747,4.5,5.7,10.1,1.1,0.6,0.5,1.8,2.8,20.4
Taj Gibson,1985-06-24,0,2009-10,24,CHI,NBA,PF,82,70,2204,5.1,10.3,.494,0.0,0.0,,5.1,10.3,.494,1.8,2.9,.646,3.7,6.3,10.0,1.1,0.8,1.7,1.9,4.6,12.0
Kendrick Perkins,1984-11-10,0,2010-11,26,TOT,NBA,C,29,24,742,3.3,6.3,.515,0.0,0.0,,3.3,6.3,.515,1.9,3.5,.556,3.0,8.2,11.3,1.3,0.4,1.3,2.7,4.4,8.4
Kendrick Perkins,1984-11-10,0,2010-11,26,BOS,NBA,C,12,7,313,3.7,6.8,.542,0.0,0.0,,3.7,6.8,.542,2.6,4.6,.575,2.6,8.5,11.2,1.2,0.2,1.2,2.9,4.3,10.0
Kendrick Perkins,1984-11-10,0,2010-11,26,OKC,NBA,C,17,17,429,2.9,6.0,.493,0.0,0.0,,2.9,6.0,.493,1.4,2.7,.531,3.3,8.1,11.3,1.3,0.6,1.3,2.6,4.5,7.3
Manu Ginóbili,1977-07-28,0,2010-11,33,SAS,NBA,SG,80,79,2426,6.5,15.1,.433,2.3,6.5,.349,4.3,8.6,.497,5.3,6.1,.871,0.6,3.8,4.4,5.8,1.8,0.4,2.6,2.4,20.7
Manu Ginóbili,1977-07-28,0,2011-12,34,SAS,NBA,SG,34,7,792,6.8,13.0,.526,2.4,5.7,.413,4.5,7.2,.616,4.0,4.6,.871,0.8,4.5,5.3,6.9,1.1,0.5,2.9,2.5,20.0
Manu Ginóbili,1977-07-28,0,2012-13,35,SAS,NBA,SG,60,0,1393,5.9,13.9,.425,2.1,6.1,.353,3.8,7.9,.480,4.2,5.3,.796,0.8,4.4,5.2,7.1,2.1,0.3,3.4,2.9,18.2
Harry Giles,1998-04-22,0,2019-20,21,SAC,NBA,C,46,17,667,7.5,13.5,.554,0.0,0.1,.000,7.5,13.4,.558,2.1,2.6,.776,2.3,7.8,10.1,3.2,1.2,1.0,2.4,6.4,17.1
Harry Giles,1998-04-22,0,2020-21,22,POR,NBA,C,38,0,348,4.3,10.0,.433,0.8,2.4,.348,3.5,7.7,.459,1.7,2.8,.593,3.2,10.6,13.8,3.0,0.8,1.3,2.1,5.6,11.2
J.R. Giddens,1985-02-13,0,2009-10,24,BOS,NBA,SF,21,1,99,3.3,7.6,.429,0.0,0.7,.000,3.3,6.9,.474,2.2,4.4,.500,1.5,5.8,7.3,2.2,1.5,0.4,2.5,3.6,8.7
J.R. Giddens,1985-02-13,0,2009-10,24,NYK,NBA,SF,11,0,140,4.9,10.0,.487,0.0,2.1,.000,4.9,8.0,.613,1.8,2.8,.636,3.1,4.9,8.0,1.8,1.3,0.3,2.6,4.9,11.6
Anthony Gill,1992-10-17,1,2020-21,28,WAS,NBA,PF,4,0,33,0.0,3.3,.000,0.0,1.1,.000,0.0,2.2,.000,0.0,0.0,,1.1,3.3,4.4,0.0,0.0,0.0,3.3,7.6,0.0
Shai Gilgeous-Alexander,1998-07-12,0,2019-20,21,OKC,NBA,SG,70,70,2428,7.1,15.0,.471,1.3,3.7,.347,5.8,11.3,.512,4.3,5.3,.807,0.7,5.4,6.1,3.4,1.2,0.7,2.0,1.7,19.7
Shai Gilgeous-Alexander,1998-07-12,0,2020-21,22,OKC,NBA,SG,35,35,1180,8.8,17.2,.508,2.2,5.2,.418,6.6,12.1,.547,5.6,7.0,.808,0.6,4.5,5.1,6.3,0.8,0.7,3.2,2.1,25.3
Norvel Pelle,1993-02-03,0,2020-21,27,NYK,NBA,C,9,0,52,3.5,4.8,.714,0.0,0.0,,3.5,4.8,.714,0.7,1.4,.500,1.4,6.2,7.6,0.7,0.7,4.2,0.0,2.8,7.6
Norvel Pelle,1993-02-03,1,2019-20,26,PHI,NBA,C,1,0,7,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,5.1,5.1,0.0,0.0,0.0
Keldon Johnson,1999-10-11,0,2019-20,20,SAS,NBA,SF,17,1,301,6.3,10.6,.596,1.6,2.6,.591,4.8,8.0,.597,4.2,5.3,.795,1.2,5.6,6.8,1.8,1.7,0.2,1.6,3.3,18.4
Jonathan Gibson,1987-11-08,0,2016-17,29,DAL,NBA,PG,17,0,231,5.5,14.8,.368,2.3,7.0,.333,3.1,7.8,.400,3.3,4.5,.724,0.2,3.3,3.4,4.1,1.2,0.0,3.3,3.3,16.5
Daniel Gibson,1986-02-27,0,2009-10,23,CLE,NBA,PG,56,10,1068,4.2,9.0,.466,2.4,5.0,.477,1.8,4.0,.454,1.1,1.7,.694,0.4,2.0,2.5,2.4,0.8,0.2,1.2,2.7,12.0
Nikola Peković,1986-01-03,0,2014-15,29,MIN,NBA,C,31,29,815,6.1,14.5,.424,0.0,0.0,,6.1,14.5,.424,4.8,5.7,.837,3.9,6.4,10.3,1.2,0.8,0.5,1.9,2.6,17.1
Nikola Peković,1986-01-03,0,2015-16,30,MIN,NBA,C,12,3,156,4.4,11.5,.380,0.0,0.0,,4.4,11.5,.380,3.7,4.6,.800,1.6,3.2,4.8,2.5,0.2,0.0,2.1,5.1,12.5
Marcus Georges-Hunt,1994-03-28,0,2016-17,22,ORL,NBA,SG,5,0,48,1.5,5.2,.286,0.7,1.5,.500,0.7,3.7,.200,6.8,7.5,.900,0.7,6.0,6.8,2.3,0.7,0.0,1.5,3.7,10.5
Taj Gibson,1985-06-24,0,2010-11,25,CHI,NBA,PF,80,19,1742,4.8,10.4,.466,0.0,0.2,.125,4.8,10.2,.472,2.1,3.1,.676,3.3,6.1,9.5,1.2,0.8,2.2,1.5,4.2,11.8
Taj Gibson,1985-06-24,0,2011-12,26,CHI,NBA,PF,63,0,1284,5.6,11.3,.495,0.0,0.0,,5.6,11.3,.495,2.4,3.8,.622,3.8,5.5,9.3,1.3,0.8,2.3,1.7,3.7,13.6
Kendrick Perkins,1984-11-10,0,2011-12,27,OKC,NBA,C,65,65,1744,2.6,5.4,.489,0.0,0.0,,2.6,5.4,.489,1.5,2.3,.652,2.5,6.3,8.8,1.6,0.5,1.5,2.4,3.9,6.8
Kendrick Perkins,1984-11-10,0,2012-13,28,OKC,NBA,C,78,78,1954,2.6,5.8,.457,0.0,0.0,.000,2.6,5.7,.458,0.8,1.3,.611,2.0,6.6,8.6,2.0,0.8,1.5,2.0,4.2,6.1
Joe Johnson,1981-06-29,0,2009-10,28,ATL,NBA,SG,76,76,2886,7.9,17.3,.458,1.6,4.4,.369,6.3,12.9,.488,2.7,3.4,.818,0.9,3.5,4.4,4.6,1.0,0.1,1.8,1.8,20.2
JaJuan Johnson,1989-02-08,0,2011-12,22,BOS,NBA,PF,36,0,298,6.5,14.6,.446,0.0,0.0,,6.5,14.6,.446,0.7,1.1,.667,2.4,4.6,7.0,0.7,0.6,1.7,1.7,3.0,13.8
James Johnson,1987-02-20,0,2009-10,22,CHI,NBA,PF,65,11,757,4.5,10.0,.452,0.7,2.2,.326,3.8,7.8,.488,2.4,3.3,.729,1.6,4.5,6.1,2.3,1.0,2.0,2.9,6.0,12.2
Manu Ginóbili,1977-07-28,0,2013-14,36,SAS,NBA,SG,68,3,1550,6.8,14.6,.469,2.1,6.0,.349,4.7,8.6,.553,3.7,4.4,.851,0.7,4.0,4.7,6.8,1.6,0.4,3.2,3.0,19.5
Manu Ginóbili,1977-07-28,0,2014-15,37,SAS,NBA,SG,70,0,1587,5.7,13.4,.426,2.0,5.9,.345,3.7,7.5,.489,3.3,4.6,.721,0.6,4.2,4.8,6.6,1.5,0.5,3.5,3.1,16.7
Harry Giles,1998-04-22,1,2020-21,22,POR,NBA,C,1,0,4,0.0,9.0,.000,0.0,0.0,,0.0,9.0,.000,0.0,0.0,,18.0,9.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0
Shai Gilgeous-Alexander,1998-07-12,1,2018-19,20,LAC,NBA,PG,6,6,173,5.8,12.5,.467,1.9,3.7,.500,4.0,8.7,.452,3.5,4.2,.850,0.8,2.5,3.3,4.0,1.2,1.0,1.0,3.5,17.1
Shai Gilgeous-Alexander,1998-07-12,1,2019-20,21,OKC,NBA,SG,7,7,279,5.0,11.6,.433,1.8,4.5,.400,3.2,7.1,.455,2.8,3.0,.957,0.4,4.4,4.8,3.7,0.9,0.4,1.9,2.2,14.7
Keldon Johnson,1999-10-11,0,2020-21,21,SAS,NBA,SF,69,67,1968,6.2,12.9,.479,1.1,3.3,.331,5.1,9.6,.531,2.7,3.6,.740,1.7,5.8,7.5,2.2,0.7,0.4,1.4,2.6,16.1
Jonathan Gibson,1987-11-08,0,2017-18,30,BOS,NBA,PG,4,0,40,12.6,20.7,.609,5.4,10.8,.500,7.2,9.9,.727,0.0,0.0,,0.0,2.7,2.7,3.6,0.0,0.0,2.7,4.5,30.6
Daniel Gibson,1986-02-27,0,2010-11,24,CLE,NBA,SG,67,15,1865,5.1,12.7,.400,2.3,5.7,.403,2.8,7.1,.398,2.6,3.1,.822,0.5,3.0,3.4,3.9,0.9,0.4,1.5,3.0,15.1
Daniel Gibson,1986-02-27,0,2011-12,25,CLE,NBA,SG,35,7,916,3.4,9.7,.351,2.2,5.5,.396,1.3,4.3,.294,1.3,1.7,.791,0.4,3.5,4.0,3.0,1.0,0.6,1.8,2.7,10.3
Marcus Georges-Hunt,1994-03-28,0,2017-18,23,MIN,NBA,SG,42,0,224,3.4,7.7,.438,0.6,2.4,.267,2.7,5.3,.515,2.1,3.4,.619,1.1,1.4,2.6,1.1,1.0,0.0,0.5,5.1,9.5
Marcus Georges-Hunt,1994-03-28,1,2017-18,23,MIN,NBA,SG,2,0,3,0.0,12.0,.000,0.0,0.0,,0.0,12.0,.000,0.0,0.0,,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Taj Gibson,1985-06-24,0,2012-13,27,CHI,NBA,PF,65,5,1459,5.3,10.9,.485,0.0,0.1,.000,5.3,10.8,.490,2.2,3.2,.679,3.1,5.4,8.5,1.5,0.7,2.2,1.9,4.1,12.8
Taj Gibson,1985-06-24,0,2013-14,28,CHI,NBA,PF,82,8,2351,6.6,13.7,.479,0.0,0.1,.000,6.6,13.6,.483,3.2,4.3,.751,3.1,5.5,8.5,1.4,0.6,1.7,2.3,3.2,16.4
Kendrick Perkins,1984-11-10,0,2013-14,29,OKC,NBA,C,62,62,1207,2.6,5.8,.451,0.0,0.0,.000,2.6,5.7,.453,1.1,2.0,.552,2.4,6.7,9.1,2.0,0.8,1.0,2.7,5.3,6.3
Kendrick Perkins,1984-11-10,0,2014-15,30,TOT,NBA,C,68,3,1148,3.2,7.1,.449,0.0,0.0,.000,3.2,7.1,.451,1.3,2.6,.506,2.9,7.2,10.0,1.6,0.5,1.3,3.0,5.1,7.7
Joe Johnson,1981-06-29,0,2010-11,29,ATL,NBA,SG,72,72,2554,7.2,16.4,.443,1.3,4.2,.297,6.0,12.1,.494,2.7,3.4,.802,0.8,3.3,4.1,4.8,0.7,0.1,2.1,1.8,18.5
Joe Johnson,1981-06-29,0,2011-12,30,ATL,NBA,SG,60,60,2127,7.2,15.8,.454,2.1,5.4,.388,5.0,10.3,.489,2.7,3.1,.849,0.9,2.8,3.7,3.9,0.8,0.2,2.0,1.3,19.1
James Johnson,1987-02-20,0,2010-11,23,TOT,NBA,SF,38,25,822,4.7,10.4,.456,0.4,1.5,.235,4.4,8.9,.493,2.1,3.1,.662,1.6,4.6,6.2,3.9,1.4,1.6,2.8,4.2,11.9
James Johnson,1987-02-20,0,2010-11,23,CHI,NBA,SF,13,0,123,5.0,12.0,.415,0.6,2.6,.222,4.4,9.4,.469,1.8,3.8,.462,1.8,5.3,7.0,4.1,2.3,2.6,5.3,7.3,12.3
Manu Ginóbili,1977-07-28,0,2015-16,38,SAS,NBA,SG,58,0,1134,6.3,13.8,.453,2.2,5.7,.391,4.0,8.1,.496,2.9,3.6,.813,0.8,3.8,4.6,5.6,2.1,0.3,3.1,3.1,17.6
Manu Ginóbili,1977-07-28,0,2016-17,39,SAS,NBA,SG,69,0,1291,4.8,12.2,.390,2.5,6.3,.392,2.3,5.9,.387,2.4,3.0,.804,0.8,3.6,4.4,5.1,2.3,0.4,2.7,3.3,14.4
Ivan Johnson,1984-04-10,0,2011-12,27,ATL,NBA,PF,56,0,934,5.4,10.6,.513,0.1,0.2,.333,5.4,10.4,.517,2.8,3.9,.720,2.5,6.2,8.7,1.2,1.7,0.7,2.7,4.5,13.7
Dakari Johnson,1995-09-22,0,2017-18,22,OKC,NBA,C,31,6,161,4.9,8.7,.564,0.0,0.0,,4.9,8.7,.564,2.5,4.5,.550,3.6,4.0,7.6,1.8,1.3,1.8,0.7,6.0,12.3
Daniel Gibson,1986-02-27,0,2012-13,26,CLE,NBA,PG,46,3,919,3.3,9.7,.340,2.2,6.4,.344,1.1,3.3,.333,1.0,1.4,.703,0.2,2.2,2.4,3.2,1.2,0.2,1.2,3.5,9.8
Daniel Gibson,1986-02-27,1,2009-10,23,CLE,NBA,PG,5,0,23,3.1,11.0,.286,1.6,6.3,.250,1.6,4.7,.333,3.1,3.1,1.000,0.0,4.7,4.7,1.6,0.0,0.0,3.1,4.7,11.0
Taj Gibson,1985-06-24,0,2014-15,29,CHI,NBA,PF,62,17,1692,5.4,10.8,.502,0.0,0.0,,5.4,10.8,.502,2.8,3.9,.717,3.4,5.0,8.4,1.5,0.8,1.6,1.6,3.4,13.6
Taj Gibson,1985-06-24,0,2015-16,30,CHI,NBA,PF,73,55,1936,4.9,9.3,.526,0.0,0.1,.000,4.9,9.2,.529,1.9,2.7,.692,3.8,5.5,9.4,2.0,0.9,1.4,1.5,3.3,11.7
Kendrick Perkins,1984-11-10,0,2014-15,30,OKC,NBA,C,51,3,981,3.0,6.8,.441,0.0,0.0,.000,3.0,6.8,.443,1.4,2.8,.507,2.9,7.3,10.2,1.6,0.5,1.4,2.7,5.0,7.4
Kendrick Perkins,1984-11-10,0,2014-15,30,CLE,NBA,C,17,0,167,4.3,8.8,.488,0.0,0.0,,4.3,8.8,.488,0.9,1.7,.500,2.4,6.5,8.8,1.7,0.4,0.9,4.5,5.8,9.5
Joe Johnson,1981-06-29,0,2012-13,31,BRK,NBA,SG,72,72,2642,6.1,14.3,.423,2.0,5.4,.375,4.0,9.0,.452,1.8,2.2,.820,0.7,2.2,3.0,3.4,0.7,0.2,1.7,1.3,15.9
Joe Johnson,1981-06-29,0,2013-14,32,BRK,NBA,SG,79,79,2575,6.5,14.2,.454,2.3,5.6,.401,4.2,8.6,.489,2.2,2.7,.815,0.7,3.1,3.8,3.0,0.7,0.1,1.7,1.8,17.4
James Johnson,1987-02-20,0,2010-11,23,TOR,NBA,SF,25,25,699,4.7,10.1,.464,0.3,1.3,.240,4.4,8.8,.497,2.1,3.0,.707,1.6,4.5,6.1,3.9,1.3,1.4,2.4,3.6,11.8
James Johnson,1987-02-20,0,2011-12,24,TOR,NBA,SF,62,40,1561,5.4,11.9,.450,0.4,1.4,.317,4.9,10.6,.467,1.9,2.7,.704,1.7,5.0,6.7,2.8,1.6,1.9,2.3,4.1,13.1
Manu Ginóbili,1977-07-28,0,2017-18,40,SAS,NBA,SG,65,0,1299,5.6,12.8,.434,1.8,5.3,.333,3.8,7.5,.506,3.0,3.6,.840,0.5,3.4,3.9,4.5,1.2,0.4,2.9,3.5,16.0
Manu Ginóbili,1977-07-28,1,2009-10,32,SAS,NBA,SG,10,10,352,5.9,14.3,.414,2.0,6.1,.333,3.9,8.2,.475,5.9,6.9,.866,0.4,3.4,3.8,6.1,2.7,0.2,3.1,3.1,19.8
Ivan Johnson,1984-04-10,0,2012-13,28,ATL,NBA,PF,69,5,1035,6.4,12.4,.520,0.0,0.5,.077,6.4,11.9,.536,2.8,4.6,.618,2.6,6.6,9.3,1.6,1.9,0.5,2.5,4.6,15.7
Ivan Johnson,1984-04-10,1,2011-12,27,ATL,NBA,PF,5,0,54,3.3,10.7,.313,0.0,0.7,.000,3.3,10.0,.333,2.0,3.3,.600,4.7,6.7,11.3,0.0,2.0,0.0,2.0,4.7,8.7
Dakari Johnson,1995-09-22,1,2017-18,22,OKC,NBA,C,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taj Gibson,1985-06-24,0,2016-17,31,TOT,NBA,PF,78,71,1989,6.6,12.8,.515,0.1,0.2,.231,6.6,12.6,.520,2.0,2.9,.715,2.9,5.9,8.8,1.3,0.7,1.2,1.9,3.0,15.3
Kendrick Perkins,1984-11-10,0,2015-16,31,NOP,NBA,C,37,5,542,2.7,5.0,.533,0.0,0.0,,2.7,5.0,.533,0.7,1.7,.440,1.7,6.8,8.5,2.1,0.7,0.7,2.7,4.3,6.0
Kendrick Perkins,1984-11-10,0,2017-18,33,CLE,NBA,C,1,0,15,2.4,4.8,.500,0.0,0.0,,2.4,4.8,.500,2.4,4.8,.500,0.0,2.4,2.4,4.8,2.4,0.0,2.4,2.4,7.2
Joe Johnson,1981-06-29,0,2014-15,33,BRK,NBA,SG,80,80,2791,5.8,13.2,.435,1.6,4.3,.359,4.2,8.9,.472,1.8,2.3,.801,0.7,4.3,5.0,3.8,0.8,0.2,1.8,1.5,14.9
Joe Johnson,1981-06-29,0,2015-16,34,TOT,NBA,SF,81,81,2703,5.0,11.4,.439,1.6,4.2,.383,3.4,7.3,.471,1.6,1.9,.831,0.7,3.2,3.9,4.2,0.8,0.1,2.1,1.9,13.2
James Johnson,1987-02-20,0,2012-13,25,SAC,NBA,SF,54,11,878,4.8,11.6,.413,0.1,0.9,.095,4.7,10.7,.439,1.6,2.7,.597,2.0,3.9,5.9,2.4,1.7,2.1,2.8,4.1,11.3
James Johnson,1987-02-20,0,2013-14,26,MEM,NBA,SF,52,4,956,5.4,11.6,.464,0.8,3.3,.253,4.6,8.3,.548,2.9,3.4,.844,2.3,4.0,6.3,4.2,1.6,2.1,2.5,3.8,14.5
Manu Ginóbili,1977-07-28,1,2010-11,33,SAS,NBA,SG,5,5,174,6.4,14.5,.443,1.9,5.8,.321,4.6,8.7,.524,6.6,8.5,.780,0.4,3.7,4.1,4.3,2.7,0.6,3.5,2.7,21.3
Manu Ginóbili,1977-07-28,1,2011-12,34,SAS,NBA,SG,14,2,390,6.0,13.4,.448,2.1,6.3,.338,3.9,7.1,.545,4.4,5.2,.857,0.7,3.8,4.5,5.2,0.9,0.4,3.9,3.3,18.6
Ivan Johnson,1984-04-10,1,2012-13,28,ATL,NBA,PF,6,0,108,4.0,8.7,.462,0.0,0.0,,4.0,8.7,.462,4.0,6.0,.667,3.0,3.7,6.7,1.0,1.3,1.0,2.0,7.7,12.0
Taj Gibson,1985-06-24,0,2016-17,31,CHI,NBA,PF,55,55,1502,6.6,12.7,.521,0.0,0.3,.167,6.6,12.4,.529,2.0,2.9,.714,2.9,6.3,9.2,1.4,0.6,1.2,1.8,2.9,15.3
Taj Gibson,1985-06-24,0,2016-17,31,OKC,NBA,PF,23,16,487,6.6,13.2,.497,0.1,0.1,1.000,6.5,13.2,.494,2.1,2.9,.718,2.8,4.8,7.6,1.0,1.0,1.1,2.1,3.0,15.3
Kendrick Perkins,1984-11-10,1,2009-10,25,BOS,NBA,C,23,23,575,3.1,6.0,.510,0.0,0.1,.000,3.1,5.9,.516,2.1,3.4,.600,2.6,6.4,9.0,1.4,0.6,2.0,2.7,4.9,8.2
Kendrick Perkins,1984-11-10,1,2010-11,26,OKC,NBA,C,17,17,479,2.2,4.8,.453,0.0,0.0,,2.2,4.8,.453,1.4,2.5,.576,2.8,5.0,7.7,1.0,0.3,1.0,2.0,4.3,5.8
Joe Johnson,1981-06-29,0,2015-16,34,BRK,NBA,SF,57,57,1934,4.6,11.3,.406,1.6,4.3,.371,3.0,7.1,.427,1.7,2.0,.852,0.6,3.5,4.2,4.3,0.7,0.0,2.2,1.9,12.5
Joe Johnson,1981-06-29,0,2015-16,34,MIA,NBA,SF,24,24,769,6.1,11.8,.518,1.6,3.9,.417,4.4,7.8,.569,1.2,1.6,.765,0.7,2.5,3.2,4.0,1.0,0.1,2.0,2.2,15.0
James Johnson,1987-02-20,0,2014-15,27,TOR,NBA,PF,70,17,1370,6.3,10.6,.589,0.3,1.3,.216,6.0,9.3,.643,1.8,2.7,.657,1.6,5.2,6.8,2.5,1.4,1.8,2.1,4.1,14.6
James Johnson,1987-02-20,0,2015-16,28,TOR,NBA,PF,57,32,926,4.4,9.3,.475,0.8,2.6,.303,3.7,6.8,.540,1.5,2.6,.574,1.1,3.8,4.9,2.6,1.1,1.3,2.1,3.3,11.2
Manu Ginóbili,1977-07-28,1,2012-13,35,SAS,NBA,SG,21,3,560,5.0,12.4,.399,1.9,6.2,.302,3.1,6.2,.495,3.8,5.1,.738,0.6,4.4,5.0,6.8,1.5,0.4,3.5,3.3,15.6
Manu Ginóbili,1977-07-28,1,2013-14,36,SAS,NBA,SG,23,0,586,6.4,14.6,.439,2.5,6.5,.390,3.9,8.1,.477,5.0,5.8,.862,0.6,4.1,4.6,5.8,2.2,0.1,3.2,3.7,20.3
Taj Gibson,1985-06-24,0,2017-18,32,MIN,NBA,PF,82,82,2726,5.6,9.7,.577,0.1,0.5,.200,5.5,9.3,.595,1.9,2.4,.768,2.6,5.2,7.7,1.3,0.8,0.8,1.2,2.9,13.2
Taj Gibson,1985-06-24,0,2018-19,33,MIN,NBA,PF,70,57,1686,6.5,11.5,.566,0.2,0.7,.324,6.3,10.7,.583,2.9,3.8,.757,3.7,6.1,9.8,1.8,1.1,0.8,1.6,4.0,16.1
Kendrick Perkins,1984-11-10,1,2011-12,27,OKC,NBA,C,20,20,517,2.6,6.2,.416,0.0,0.0,,2.6,6.2,.416,1.4,1.7,.800,2.4,6.2,8.6,0.9,0.5,1.7,2.0,4.1,6.5
Kendrick Perkins,1984-11-10,1,2012-13,28,OKC,NBA,C,11,11,210,1.7,6.5,.263,0.0,0.2,.000,1.7,6.3,.270,0.7,0.7,1.000,2.6,4.5,7.0,1.2,1.4,0.9,3.9,6.7,4.1
Kendrick Perkins,1984-11-10,1,2013-14,29,OKC,NBA,C,19,19,384,2.3,4.2,.533,0.0,0.0,,2.3,4.2,.533,1.1,1.4,.800,3.1,6.5,9.6,1.3,0.4,0.6,2.3,6.0,5.6
Joe Johnson,1981-06-29,0,2016-17,35,UTA,NBA,SF,78,14,1843,5.3,12.2,.436,2.1,5.0,.411,3.3,7.2,.454,1.2,1.5,.818,0.6,4.1,4.7,2.8,0.7,0.4,1.3,1.8,14.0
Joe Johnson,1981-06-29,0,2017-18,36,TOT,NBA,SF,55,4,1205,4.4,10.8,.406,1.2,4.3,.276,3.2,6.4,.493,1.2,1.3,.889,0.4,4.7,5.1,2.5,0.5,0.2,1.5,2.0,11.1
Joe Johnson,1981-06-29,0,2017-18,36,UTA,NBA,SF,32,3,700,4.9,11.6,.420,1.2,4.3,.274,3.7,7.3,.507,1.0,1.2,.833,0.6,4.9,5.5,2.3,0.6,0.3,1.6,1.6,12.0
