Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCount,On-Off,BadPass,LostBall,FoulShooting,FoulOffensive,DrawnShooting,DrawnOffensive,PGA,And1,Blkd
Darren Collison,1987-08-23,1,2017-18,30,IND,NBA,PG,7,214,100%,,,,,+4.8,-4.6,5,3,1,0,5,1,75,2,3
Darren Collison,1987-08-23,1,2018-19,31,IND,NBA,PG,4,117,100%,,,,,-3.8,+6.7,5,2,4,2,3,2,34,0,0
Kevin Love,1988-09-07,0,2019-20,31,CLE,NBA,PF,56,1780,,,,74%,26%,-8.8,-1.8,88,28,53,7,81,14,415,10,29
Kevin Love,1988-09-07,0,2020-21,32,CLE,NBA,PF,25,622,,,,79%,22%,-5.0,+4.1,26,11,14,0,19,1,146,4,12
Kevin Love,1988-09-07,1,2014-15,26,CLE,NBA,PF,4,107,,,,61%,39%,+15.9,+13.4,3,1,7,2,8,1,22,0,5
Brook Lopez,1988-04-01,0,2019-20,31,MIL,NBA,C,68,1817,,,,,100%,+12.4,+4.9,24,7,106,21,77,3,249,17,22
Brook Lopez,1988-04-01,0,2020-21,32,MIL,NBA,C,70,1902,,,,,100%,+6.8,+2.8,19,19,86,16,71,4,125,17,18
Brook Lopez,1988-04-01,1,2012-13,24,BRK,NBA,C,7,263,,,,,100%,+6.5,+19.2,5,1,7,3,22,1,28,4,14
Robin Lopez,1988-04-01,0,2020-21,32,WAS,NBA,C,71,1354,,,,,100%,-1.8,0.0,13,20,62,24,57,8,135,17,26
Robin Lopez,1988-04-01,1,2009-10,21,PHO,NBA,C,6,104,,,,,100%,-0.4,-7.2,1,1,7,0,2,0,0,1,7
Shaun Livingston,1985-09-11,0,2015-16,30,GSW,NBA,PG,78,1520,64%,36%,,,,+7.2,-6.2,47,15,63,10,45,5,550,15,18
Shaun Livingston,1985-09-11,0,2016-17,31,GSW,NBA,PG,76,1345,66%,34%,,,,+6.8,-7.4,38,12,58,3,31,5,317,11,10
Shaun Livingston,1985-09-11,0,2017-18,32,GSW,NBA,PG,71,1129,77%,23%,,,,+6.3,0.0,38,10,58,3,33,2,322,13,15
Jeremy Lin,1988-08-23,0,2017-18,29,BRK,NBA,PG,1,25,100%,,,,,-11.9,-8.0,2,1,2,0,2,0,12,0,1
Jeremy Lin,1988-08-23,0,2018-19,30,TOT,NBA,PG,74,1436,75%,25%,,,,-6.1,-4.2,75,34,82,6,68,40,546,10,35
Jeremy Lin,1988-08-23,0,2018-19,30,ATL,NBA,PG,51,1003,85%,15%,,,,-5.7,+0.2,58,29,50,5,51,32,428,8,24
Damian Lillard,1990-07-15,0,2019-20,29,POR,NBA,PG,66,2474,100%,,,,,+1.7,+8.7,134,38,51,9,166,23,1266,41,85
Damian Lillard,1990-07-15,0,2020-21,30,POR,NBA,PG,67,2398,100%,,,,,+3.9,+6.6,143,38,42,15,176,26,1256,32,67
Kevin Love,1988-09-07,1,2015-16,27,CLE,NBA,PF,20,613,,,,10%,90%,+13.3,+8.8,18,2,15,6,25,0,98,3,15
Kevin Love,1988-09-07,1,2016-17,28,CLE,NBA,PF,18,578,,,,81%,19%,+10.5,+5.8,18,5,24,5,29,2,66,3,12
Kevin Love,1988-09-07,1,2017-18,29,CLE,NBA,C,21,660,,,,,100%,-2.2,-1.0,11,15,31,9,21,4,81,7,22
Brook Lopez,1988-04-01,1,2014-15,26,BRK,NBA,C,6,234,,,,,100%,-6.3,-2.3,2,2,4,1,22,1,13,6,6
Brook Lopez,1988-04-01,1,2018-19,30,MIL,NBA,C,15,438,,,,,100%,+10.4,+2.4,3,3,26,2,14,1,49,5,5
Brook Lopez,1988-04-01,1,2019-20,31,MIL,NBA,C,10,328,,,,,100%,+0.1,-3.4,4,3,12,4,11,1,13,6,2
Robin Lopez,1988-04-01,1,2013-14,25,POR,NBA,C,11,367,,,,,100%,-10.2,-10.2,2,5,19,3,17,0,22,6,8
Robin Lopez,1988-04-01,1,2014-15,26,POR,NBA,C,5,117,,,,22%,78%,-21.2,-20.9,2,1,5,1,4,0,8,0,1
Robin Lopez,1988-04-01,1,2016-17,28,CHI,NBA,C,6,162,,,,,100%,-9.3,-3.7,3,0,5,4,3,0,13,0,1
Shaun Livingston,1985-09-11,0,2018-19,33,GSW,NBA,PG,64,967,35%,64%,1%,,,+3.5,-4.3,25,4,31,7,25,2,275,7,11
Shaun Livingston,1985-09-11,1,2013-14,28,BRK,NBA,PG,12,325,44%,56%,,,,-10.7,-20.9,12,6,16,3,16,0,92,1,5
Shaun Livingston,1985-09-11,1,2014-15,29,GSW,NBA,PG,21,375,50%,50%,,,,+10.5,+3.4,9,4,10,1,11,2,90,1,4
Jeremy Lin,1988-08-23,0,2018-19,30,TOR,NBA,PG,23,433,52%,48%,,,,-7.1,-14.6,17,5,32,1,17,8,118,2,11
Jeremy Lin,1988-08-23,1,2012-13,24,HOU,NBA,PG,4,84,40%,60%,,,,-34.8,-42.2,5,2,7,1,1,0,20,0,1
Jeremy Lin,1988-08-23,1,2013-14,25,HOU,NBA,PG,6,177,57%,43%,,,,-1.9,-4.5,4,9,9,0,7,2,60,2,4
Damian Lillard,1990-07-15,1,2013-14,23,POR,NBA,PG,11,466,69%,31%,,,,-1.8,+34.4,20,6,14,3,23,3,165,7,16
Damian Lillard,1990-07-15,1,2014-15,24,POR,NBA,PG,5,201,97%,3%,,,,-10.2,-1.8,6,5,8,0,13,0,58,3,5
Damian Lillard,1990-07-15,1,2015-16,25,POR,NBA,PG,11,437,95%,5%,,,,-4.2,-13.0,22,9,9,0,24,4,171,5,18
Brook Lopez,1988-04-01,1,2020-21,32,MIL,NBA,C,23,667,,,,,100%,+5.5,+0.8,4,10,22,8,19,1,14,4,4
Robin Lopez,1988-04-01,1,2019-20,31,MIL,NBA,C,3,21,,,,,100%,-23.6,-25.8,0,0,2,0,0,0,0,0,0
Robin Lopez,1988-04-01,1,2020-21,32,WAS,NBA,C,5,73,,,,,100%,-22.0,-12.0,0,0,6,0,2,0,0,0,1
Shaun Livingston,1985-09-11,1,2015-16,30,GSW,NBA,PG,24,514,70%,30%,,,,+7.8,+5.7,15,8,18,4,17,2,199,5,9
Shaun Livingston,1985-09-11,1,2016-17,31,GSW,NBA,PG,14,220,19%,81%,,,,+10.2,-4.5,5,3,10,0,5,1,50,3,1
Shaun Livingston,1985-09-11,1,2017-18,32,GSW,NBA,PG,21,362,32%,68%,,,,+9.1,-1.9,4,7,16,2,7,1,69,1,3
Jeremy Lin,1988-08-23,1,2015-16,27,CHO,NBA,SG,7,189,34%,66%,,,,-0.3,+23.6,2,2,10,5,17,4,39,5,4
Jeremy Lin,1988-08-23,1,2018-19,30,TOR,NBA,PG,8,27,99%,1%,,,,-38.2,-45.0,4,1,1,0,0,0,10,0,2
Damian Lillard,1990-07-15,1,2016-17,26,POR,NBA,PG,4,151,85%,15%,,,,-26.4,-44.8,7,4,5,1,9,2,33,1,11
Damian Lillard,1990-07-15,1,2017-18,27,POR,NBA,PG,4,162,90%,10%,,,,-13.0,-22.5,7,7,3,1,6,0,49,3,6
Damian Lillard,1990-07-15,1,2018-19,28,POR,NBA,PG,16,650,100%,,,,,-1.8,-0.3,38,17,15,2,37,14,252,6,21
Shaun Livingston,1985-09-11,1,2018-19,33,GSW,NBA,PG,22,322,16%,80%,4%,,,-4.8,-11.5,6,2,16,0,13,2,75,1,6
Damian Lillard,1990-07-15,1,2019-20,29,POR,NBA,PG,4,143,100%,,,,,-16.1,-11.2,8,5,2,0,14,1,40,2,7
Damian Lillard,1990-07-15,1,2020-21,30,POR,NBA,PG,6,248,100%,,,,,+5.5,+47.0,8,3,3,1,14,5,148,3,8
Skylar Mays,1997-09-05,0,2020-21,23,ATL,NBA,SG,33,269,33%,64%,3%,,,+2.4,-0.2,6,1,10,2,11,1,72,1,8
Skylar Mays,1997-09-05,1,2020-21,23,ATL,NBA,SG,7,17,16%,84%,,,,-2.5,-1.3,0,1,1,0,0,0,2,0,0
Sean May,1984-04-04,0,2009-10,25,SAC,NBA,C,37,331,,,,42%,58%,0.0,+5.1,7,4,31,3,13,7,37,2,9
Tyrese Maxey,2000-11-04,0,2020-21,20,PHI,NBA,SG,61,935,42%,47%,11%,,,-2.1,-10.6,22,11,47,2,37,2,291,13,25
O.J. Mayo,1987-11-05,0,2009-10,22,MEM,NBA,SG,82,3113,,98%,1%,,,-1.4,+1.0,93,50,74,13,95,15,531,29,59
Jason Maxiell,1983-02-18,0,2009-10,26,DET,NBA,C,76,1550,,,,35%,65%,-6.0,-0.2,14,25,72,17,75,11,90,13,35
Tyrese Maxey,2000-11-04,1,2020-21,20,PHI,NBA,SG,12,156,7%,58%,35%,,,+2.5,-6.5,4,0,7,1,10,1,40,2,5
Eric Maynor,1987-06-11,0,2009-10,22,TOT,NBA,PG,81,1269,100%,,,,,+3.2,-1.6,56,18,58,7,33,12,594,10,28
Wesley Matthews,1986-10-14,0,2009-10,23,UTA,NBA,SG,82,2025,1%,94%,5%,,,+4.8,-1.6,36,29,75,12,84,30,273,18,44
Luc Mbah a Moute,1986-09-09,0,2009-10,23,MIL,NBA,PF,73,1866,,,37%,63%,,+1.9,0.0,21,18,92,13,64,10,192,15,40
O.J. Mayo,1987-11-05,0,2010-11,23,MEM,NBA,SG,71,1869,23%,65%,12%,,,+2.1,-0.6,60,26,56,7,48,6,320,12,43
O.J. Mayo,1987-11-05,0,2011-12,24,MEM,NBA,SG,66,1771,4%,80%,17%,,,+0.5,-4.2,56,35,61,18,60,9,365,9,36
O.J. Mayo,1987-11-05,0,2012-13,25,DAL,NBA,SG,82,2913,,97%,3%,,,-2.1,-5.4,107,72,95,16,90,14,795,19,51
O.J. Mayo,1987-11-05,0,2013-14,26,MIL,NBA,SG,52,1346,2%,87%,12%,,,-14.1,-7.9,55,25,59,10,30,6,248,5,35
Jason Maxiell,1983-02-18,0,2010-11,27,DET,NBA,PF,57,930,,,2%,88%,10%,-7.5,-4.7,12,19,46,8,43,3,36,7,26
Jason Maxiell,1983-02-18,0,2011-12,28,DET,NBA,PF,65,1466,,,1%,99%,1%,-3.2,+4.5,22,26,76,13,50,9,87,8,34
Jason Maxiell,1983-02-18,0,2012-13,29,DET,NBA,PF,72,1789,,,1%,99%,1%,-5.1,-1.4,27,22,86,19,64,9,128,9,22
Dakota Mathias,1995-07-11,0,2020-21,25,PHI,NBA,SG,8,123,,48%,52%,,,-12.7,-19.0,0,0,3,0,1,1,29,1,0
Yante Maten,1996-08-14,0,2018-19,22,MIA,NBA,PF,2,13,,,,100%,,+8.0,+8.2,0,0,0,0,0,0,0,0,0
Mangok Mathiang,1992-10-08,0,2017-18,25,CHO,NBA,C,4,20,,,,,100%,+4.9,+4.7,0,0,4,0,1,0,0,1,0
Andrew Goudelock,1988-12-07,0,2011-12,23,LAL,NBA,SG,40,419,35%,65%,,,,-3.8,-6.1,7,6,16,2,3,3,54,0,6
Garrison Mathews,1996-10-24,0,2019-20,23,WAS,NBA,SG,18,227,6%,58%,33%,3%,,+7.5,+12.9,4,0,14,2,13,8,27,2,4
Drew Gordon,1990-07-12,0,2014-15,24,PHI,NBA,PF,9,71,,,,78%,23%,-24.0,-14.9,1,3,2,3,0,1,5,0,1
Eric Maynor,1987-06-11,0,2009-10,22,UTA,NBA,PG,26,363,100%,,,,,+1.6,-4.4,17,5,16,4,14,4,173,4,15
Eric Maynor,1987-06-11,0,2009-10,22,OKC,NBA,PG,55,906,100%,,,,,+3.9,-0.4,39,13,42,3,19,8,421,6,13
Wesley Matthews,1986-10-14,0,2010-11,24,POR,NBA,SG,82,2758,2%,68%,30%,,,+2.7,+3.8,60,48,85,10,112,33,366,19,64
Wesley Matthews,1986-10-14,0,2011-12,25,POR,NBA,SG,66,2228,,74%,26%,,,+1.0,+7.2,22,32,59,13,70,16,258,8,53
Wesley Matthews,1986-10-14,0,2012-13,26,POR,NBA,SG,69,2403,,85%,15%,,,-2.1,+3.7,46,43,83,10,73,17,391,16,45
Luc Mbah a Moute,1986-09-09,0,2010-11,24,MIL,NBA,PF,79,2093,,,30%,69%,1%,-0.5,+0.7,32,17,96,14,88,15,160,17,38
Luc Mbah a Moute,1986-09-09,0,2011-12,25,MIL,NBA,PF,43,1009,,,25%,73%,2%,+3.1,+4.2,12,15,48,5,52,4,66,12,20
Luc Mbah a Moute,1986-09-09,0,2012-13,26,MIL,NBA,SF,58,1326,,2%,80%,17%,,-1.6,+0.5,36,20,40,8,62,6,128,8,36
Brandon Goodwin,1995-10-02,0,2018-19,23,DEN,NBA,PG,16,57,100%,,,,,+8.4,+4.7,2,1,4,0,6,2,36,1,0
Marcin Gortat,1984-02-17,0,2009-10,25,ORL,NBA,C,81,1088,,,,6%,94%,+3.2,-7.1,8,16,83,13,35,13,41,9,15
Eric Gordon,1988-12-25,0,2009-10,21,LAC,NBA,SG,62,2229,3%,95%,2%,,,-5.4,+3.7,81,40,43,11,144,10,401,38,52
O.J. Mayo,1987-11-05,0,2014-15,27,MIL,NBA,SG,71,1697,,78%,22%,,,-1.7,-4.2,65,33,62,12,52,3,429,13,29
O.J. Mayo,1987-11-05,0,2015-16,28,MIL,NBA,SG,41,1090,3%,60%,35%,3%,,-2.1,+2.7,44,14,51,9,14,8,257,3,17
O.J. Mayo,1987-11-05,1,2010-11,23,MEM,NBA,SG,13,362,23%,47%,31%,,,+3.5,+9.7,9,3,19,1,11,2,69,4,7
Ben Gordon,1983-04-04,0,2009-10,26,DET,NBA,SG,62,1730,8%,77%,15%,,,-6.9,-1.8,55,38,75,10,89,12,375,21,26
Aaron Gordon,1995-09-16,0,2014-15,19,ORL,NBA,PF,47,797,,,33%,66%,1%,-7.0,-1.2,11,10,38,11,31,3,80,9,15
Archie Goodwin,1994-08-17,0,2013-14,19,PHO,NBA,SG,52,533,4%,91%,5%,,,-8.1,-12.3,12,20,19,6,27,6,47,9,18
Jason Maxiell,1983-02-18,0,2013-14,30,ORL,NBA,PF,34,488,,,14%,77%,8%,-9.9,-4.7,2,5,19,6,13,1,20,3,7
Jason Maxiell,1983-02-18,0,2014-15,31,CHO,NBA,PF,61,878,,,1%,97%,2%,-8.3,-6.2,9,7,54,9,25,7,42,4,19
Andrew Goudelock,1988-12-07,0,2012-13,24,LAL,NBA,SG,1,6,,100%,,,,-89.7,-91.5,0,0,0,0,0,0,0,0,0
Andrew Goudelock,1988-12-07,0,2015-16,27,HOU,NBA,PG,8,50,99%,1%,,,,+14.4,+14.6,5,1,1,0,0,1,9,0,0
Andrew Goudelock,1988-12-07,1,2011-12,23,LAL,NBA,SG,4,10,45%,55%,,,,-20.1,-15.7,0,0,0,0,0,0,0,0,0
Garrison Mathews,1996-10-24,0,2020-21,24,WAS,NBA,SG,64,1038,2%,20%,73%,4%,,-5.5,-5.2,5,4,54,1,32,43,65,5,9
Garrison Mathews,1996-10-24,1,2020-21,24,WAS,NBA,SG,3,17,10%,83%,8%,,,-9.4,+4.9,0,0,1,0,1,1,0,0,1
Eric Maynor,1987-06-11,0,2010-11,23,OKC,NBA,PG,82,1200,100%,,,,,+10.2,+8.5,42,24,45,5,27,4,552,5,10
Eric Maynor,1987-06-11,0,2011-12,24,OKC,NBA,PG,9,137,100%,,,,,+8.6,+1.9,7,2,9,0,2,0,53,0,0
Eric Maynor,1987-06-11,0,2012-13,25,TOT,NBA,"PG,SG",64,963,63%,37%,,,,-3.0,-5.5,54,18,20,1,20,0,415,5,12
Wesley Matthews,1986-10-14,0,2013-14,27,POR,NBA,SG,82,2780,,78%,22%,1%,,+4.9,+3.5,48,38,76,13,122,32,448,22,41
Wesley Matthews,1986-10-14,0,2014-15,28,POR,NBA,SG,60,2024,,74%,26%,,,+6.5,+4.6,41,23,54,7,63,16,332,16,24
Wesley Matthews,1986-10-14,0,2015-16,29,DAL,NBA,SF,78,2644,,35%,63%,2%,,+2.2,+6.8,34,32,75,6,55,19,361,8,39
Luc Mbah a Moute,1986-09-09,0,2013-14,27,TOT,NBA,"PF,SF",64,1003,,,73%,26%,,-6.2,-9.5,9,17,33,7,30,6,82,7,24
Luc Mbah a Moute,1986-09-09,0,2013-14,27,SAC,NBA,SF,9,196,,,68%,32%,,-3.3,-0.1,0,1,9,3,5,4,36,1,5
Luc Mbah a Moute,1986-09-09,0,2013-14,27,MIN,NBA,PF,55,807,,,75%,25%,1%,-6.9,-11.7,9,16,24,4,25,2,46,6,19
Brandon Goodwin,1995-10-02,0,2019-20,24,ATL,NBA,PG,34,430,100%,,,,,-14.9,-7.9,19,6,15,2,13,2,119,3,12
Brandon Goodwin,1995-10-02,0,2020-21,25,ATL,NBA,PG,47,620,100%,,,,,-2.8,-6.5,18,11,13,5,13,3,229,3,19
Marcin Gortat,1984-02-17,0,2010-11,26,TOT,NBA,C,80,2032,,,,3%,97%,+0.6,+0.4,22,17,94,22,89,9,172,15,57
Marcin Gortat,1984-02-17,0,2010-11,26,ORL,NBA,C,25,396,,,,10%,90%,+2.7,-3.8,2,3,23,7,9,2,39,2,8
Marcin Gortat,1984-02-17,0,2010-11,26,PHO,NBA,C,55,1636,,,,1%,99%,+0.1,+1.5,20,14,71,15,80,7,133,13,49
Marcin Gortat,1984-02-17,0,2011-12,27,PHO,NBA,C,66,2114,,,,,100%,+1.6,+6.1,18,40,75,19,113,16,139,21,57
Eric Gordon,1988-12-25,0,2010-11,22,LAC,NBA,SG,56,2112,4%,84%,12%,,,-0.3,+7.1,60,59,56,15,143,1,546,37,65
Eric Gordon,1988-12-25,0,2011-12,23,NOH,NBA,SG,9,310,85%,15%,,,,+4.3,+9.6,11,12,11,1,27,0,67,10,8
Eric Gordon,1988-12-25,0,2012-13,24,NOH,NBA,SG,42,1264,2%,92%,6%,,,-2.2,+3.6,54,44,26,7,105,1,310,20,36
O.J. Mayo,1987-11-05,1,2011-12,24,MEM,NBA,SG,7,163,15%,81%,5%,,,-9.1,-18.9,11,5,3,2,9,2,31,0,5
O.J. Mayo,1987-11-05,1,2014-15,27,MIL,NBA,SG,6,156,,95%,5%,,,-1.6,+22.2,7,2,5,0,3,0,42,1,3
Ben Gordon,1983-04-04,0,2010-11,27,DET,NBA,SG,82,2131,28%,69%,3%,,,-2.9,+2.0,69,34,86,20,54,11,403,12,30
Ben Gordon,1983-04-04,0,2011-12,28,DET,NBA,SG,52,1398,28%,72%,1%,,,-7.8,-3.9,59,33,57,9,56,9,288,14,31
Ben Gordon,1983-04-04,0,2012-13,29,CHA,NBA,SG,75,1560,2%,85%,13%,,,-15.1,-8.3,62,44,56,14,53,9,312,14,49
Aaron Gordon,1995-09-16,0,2015-16,20,ORL,NBA,PF,78,1863,,,40%,60%,,-1.4,+0.4,17,19,65,16,87,3,277,21,34
Aaron Gordon,1995-09-16,0,2016-17,21,ORL,NBA,SF,80,2298,,2%,63%,35%,,-2.8,+9.8,41,25,98,17,111,7,352,29,44
Aaron Gordon,1995-09-16,0,2017-18,22,ORL,NBA,PF,58,1909,,,7%,91%,2%,-2.4,+5.0,37,27,52,20,111,4,312,31,43
Archie Goodwin,1994-08-17,0,2014-15,20,PHO,NBA,SG,41,535,24%,73%,3%,,,-15.9,-17.1,21,17,28,5,38,9,97,9,21
Archie Goodwin,1994-08-17,0,2015-16,21,PHO,NBA,PG,57,1114,69%,31%,1%,,,-9.9,-3.7,64,25,47,5,90,15,275,16,45
Archie Goodwin,1994-08-17,0,2016-17,22,TOT,NBA,SG,15,214,,63%,37%,,,-6.8,-1.1,8,4,2,1,21,2,56,4,8
Ryan Gomes,1982-09-01,0,2009-10,27,MIN,NBA,SF,76,2210,,,68%,32%,,-9.7,+0.7,43,23,83,13,61,4,279,15,35
Drew Gooden,1981-09-24,0,2009-10,28,TOT,NBA,"C,PF",70,1755,,,,37%,63%,-7.9,-8.7,41,29,115,16,108,13,109,26,44
Andrew Goudelock,1988-12-07,1,2012-13,24,LAL,NBA,SG,3,80,,70%,30%,,,-29.7,-15.7,0,4,4,0,0,0,7,0,2
Andrew Goudelock,1988-12-07,1,2015-16,27,HOU,NBA,PG,2,11,100%,,,,,-17.4,+2.5,1,1,0,0,0,0,0,0,0
Eric Maynor,1987-06-11,0,2012-13,25,OKC,NBA,PG,37,391,100%,,,,,+3.2,-7.2,18,9,3,0,8,0,168,3,4
Eric Maynor,1987-06-11,0,2012-13,25,POR,NBA,SG,27,572,37%,63%,,,,-7.3,-4.4,36,9,17,1,12,0,247,2,8
Eric Maynor,1987-06-11,0,2013-14,26,TOT,NBA,PG,31,327,100%,,,,,-25.3,-23.6,19,8,7,1,6,0,124,1,3
Wesley Matthews,1986-10-14,0,2016-17,30,DAL,NBA,SG,73,2495,,40%,60%,,,-3.8,-1.5,51,37,68,8,68,34,521,8,24
Wesley Matthews,1986-10-14,0,2017-18,31,DAL,NBA,SF,63,2131,,33%,67%,,,-8.1,-10.0,52,21,62,3,43,22,429,9,25
Wesley Matthews,1986-10-14,0,2018-19,32,TOT,NBA,"SF,SG",69,2091,1%,50%,49%,,,-2.5,-2.9,50,26,82,5,55,26,380,6,30
Luc Mbah a Moute,1986-09-09,0,2014-15,28,PHI,NBA,PF,67,1916,,,22%,75%,3%,-9.8,-0.6,41,31,60,10,70,8,257,11,53
Luc Mbah a Moute,1986-09-09,0,2015-16,29,LAC,NBA,PF,75,1274,,,27%,73%,1%,+10.6,+9.1,15,11,49,4,28,3,74,5,32
Luc Mbah a Moute,1986-09-09,0,2016-17,30,LAC,NBA,SF,80,1787,,,71%,29%,,+9.9,+10.7,20,18,69,3,47,5,89,15,31
Marcin Gortat,1984-02-17,0,2012-13,28,PHO,NBA,C,61,1876,,,,,100%,-5.3,+3.2,26,20,57,25,64,1,166,15,45
Marcin Gortat,1984-02-17,0,2013-14,29,WAS,NBA,C,81,2655,,,,,100%,+5.0,+11.3,41,39,104,28,111,19,317,28,51
Marcin Gortat,1984-02-17,0,2014-15,30,WAS,NBA,C,82,2453,,,,,100%,+5.1,+10.9,30,29,98,24,79,13,230,17,50
Rudy Gobert,1992-06-26,0,2013-14,21,UTA,NBA,C,45,434,,,,,100%,-2.6,+6.0,7,11,29,6,23,5,15,5,7
Eric Gordon,1988-12-25,0,2013-14,25,NOP,NBA,SG,64,2057,1%,96%,3%,,,-6.5,-8.2,51,56,60,12,99,4,442,19,64
Eric Gordon,1988-12-25,0,2014-15,26,NOP,NBA,SG,61,2018,54%,44%,2%,,,+1.8,+0.9,62,35,79,10,57,7,507,12,41
Eric Gordon,1988-12-25,0,2015-16,27,NOP,NBA,SG,45,1481,21%,64%,15%,,,-2.5,+2.2,32,27,54,3,48,3,271,13,30
Ben Gordon,1983-04-04,0,2013-14,30,CHA,NBA,SG,19,279,,100%,,,,+3.0,+3.4,7,10,10,0,7,2,47,0,10
Ben Gordon,1983-04-04,0,2014-15,31,ORL,NBA,SG,56,790,18%,81%,1%,,,-10.1,-5.1,26,20,31,6,26,8,108,2,14
Aaron Gordon,1995-09-16,0,2018-19,23,ORL,NBA,PF,78,2633,,,40%,60%,,+1.9,+2.6,69,34,67,34,129,10,677,39,52
Aaron Gordon,1995-09-16,0,2019-20,24,ORL,NBA,PF,62,2017,,,31%,69%,,-1.2,-0.4,42,27,55,19,105,7,536,27,42
Aaron Gordon,1995-09-16,0,2020-21,25,TOT,NBA,PF,50,1384,,,10%,90%,,+2.4,+6.2,58,16,41,13,68,3,382,16,29
Archie Goodwin,1994-08-17,0,2016-17,22,NOP,NBA,SG,3,30,,67%,33%,,,-1.2,+0.8,0,0,1,0,4,1,3,0,0
Archie Goodwin,1994-08-17,0,2016-17,22,BRK,NBA,SG,12,184,,62%,38%,,,-7.7,-1.4,8,4,1,1,17,1,53,4,8
Ryan Gomes,1982-09-01,0,2010-11,28,LAC,NBA,SF,76,2095,,2%,92%,6%,,-2.5,+2.3,26,11,72,10,38,3,275,4,11
Ryan Gomes,1982-09-01,0,2011-12,29,LAC,NBA,SF,32,425,,,86%,13%,,-6.8,-11.3,7,3,19,4,5,1,27,1,1
Ryan Gomes,1982-09-01,0,2013-14,31,OKC,NBA,SF,5,34,,,93%,7%,,+7.7,+0.9,0,0,3,1,0,0,3,0,1
Drew Gooden,1981-09-24,0,2009-10,28,DAL,NBA,C,46,1030,,,,1%,99%,-4.6,-10.2,17,17,77,10,58,12,58,13,26
Drew Gooden,1981-09-24,0,2009-10,28,LAC,NBA,PF,24,725,,,,88%,12%,-12.5,-6.7,24,12,38,6,50,1,51,13,18
Drew Gooden,1981-09-24,0,2010-11,29,MIL,NBA,PF,35,860,,,,63%,37%,-3.2,-3.0,20,9,58,11,46,12,103,11,23
Eric Maynor,1987-06-11,0,2013-14,26,WAS,NBA,PG,23,215,100%,,,,,-26.7,-29.5,11,5,4,1,2,0,97,1,2
Eric Maynor,1987-06-11,0,2013-14,26,PHI,NBA,PG,8,112,100%,,,,,-22.5,-12.1,8,3,3,0,4,0,27,0,1
Eric Maynor,1987-06-11,1,2009-10,22,OKC,NBA,PG,6,76,100%,,,,,-1.4,+1.4,4,1,3,0,3,0,19,1,2
Wesley Matthews,1986-10-14,0,2018-19,32,DAL,NBA,SF,44,1312,,27%,73%,,,-1.7,+0.1,35,14,51,4,36,15,241,3,23
Wesley Matthews,1986-10-14,0,2018-19,32,NYK,NBA,SG,2,54,,77%,23%,,,-2.0,+7.3,0,2,1,0,1,1,12,0,1
Wesley Matthews,1986-10-14,0,2018-19,32,IND,NBA,SG,23,725,3%,91%,7%,,,-4.0,-9.0,15,10,30,1,18,10,127,3,6
Luc Mbah a Moute,1986-09-09,0,2017-18,31,HOU,NBA,PF,61,1564,,,23%,68%,9%,+10.1,+2.4,22,21,48,12,47,2,138,11,26
Luc Mbah a Moute,1986-09-09,0,2018-19,32,LAC,NBA,PF,4,61,,,84%,14%,2%,+12.1,+11.3,0,0,2,0,3,0,4,1,2
Luc Mbah a Moute,1986-09-09,0,2019-20,33,HOU,NBA,PF,3,25,,,81%,19%,,-11.7,-14.8,1,0,0,0,1,0,0,0,0
Marcin Gortat,1984-02-17,0,2015-16,31,WAS,NBA,C,75,2256,,,,,100%,+0.8,+2.9,39,35,86,30,95,15,245,20,50
Marcin Gortat,1984-02-17,0,2016-17,32,WAS,NBA,C,82,2556,,,,10%,90%,+2.9,+3.3,44,29,98,34,77,13,301,15,51
Rudy Gobert,1992-06-26,0,2014-15,22,UTA,NBA,C,82,2158,,,,,100%,+0.7,+1.1,37,28,92,19,128,9,258,23,38
Rudy Gobert,1992-06-26,0,2015-16,23,UTA,NBA,C,61,1932,,,,,100%,+4.4,+4.8,38,35,79,20,106,4,211,10,42
Rudy Gobert,1992-06-26,0,2016-17,24,UTA,NBA,C,81,2744,,,,,100%,+8.2,+11.6,38,42,127,33,209,16,235,50,55
Eric Gordon,1988-12-25,0,2016-17,28,HOU,NBA,SG,75,2323,,68%,31%,1%,,+6.6,+1.0,54,38,79,6,84,4,448,26,48
Eric Gordon,1988-12-25,0,2017-18,29,HOU,NBA,SG,69,2154,58%,42%,,,,+13.1,+9.9,53,45,52,9,114,4,383,29,49
Eric Gordon,1988-12-25,0,2018-19,30,HOU,NBA,SG,68,2158,1%,52%,47%,,,+7.8,+6.0,38,30,75,7,67,3,318,16,68
Aaron Gordon,1995-09-16,0,2020-21,25,ORL,NBA,PF,25,736,,,10%,90%,,-2.1,+8.7,38,12,21,10,44,2,246,6,17
Aaron Gordon,1995-09-16,0,2020-21,25,DEN,NBA,PF,25,648,,,11%,89%,1%,+7.5,+3.2,20,4,20,3,24,1,136,10,12
Aaron Gordon,1995-09-16,1,2018-19,23,ORL,NBA,PF,5,164,,,47%,53%,,-23.6,-26.9,2,5,5,4,8,1,44,3,2
Drew Gooden,1981-09-24,0,2011-12,30,MIL,NBA,C,56,1469,,,,1%,99%,-5.4,-10.6,51,34,62,12,95,14,316,17,34
