Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCount,On-Off,BadPass,LostBall,FoulShooting,FoulOffensive,DrawnShooting,DrawnOffensive,PGA,And1,Blkd
Stephen Curry,1988-03-14,0,2013-14,25,GSW,NBA,PG,78,2846,93%,7%,,,,+9.2,+15.1,193,59,98,15,109,29,1485,33,34
Stephen Curry,1988-03-14,0,2014-15,26,GSW,NBA,PG,80,2613,100%,,,,,+16.7,+18.1,162,58,76,9,113,17,1422,29,35
Stephen Curry,1988-03-14,0,2015-16,27,GSW,NBA,PG,79,2700,100%,,,,,+18.0,+22.6,167,61,78,6,130,19,1213,32,51
Seth Curry,1990-08-23,0,2015-16,25,SAC,NBA,PG,44,692,35%,63%,2%,,,-2.7,+0.1,21,6,16,4,18,2,153,1,12
Seth Curry,1990-08-23,0,2016-17,26,DAL,NBA,PG,70,2029,58%,42%,,,,-1.2,+4.1,51,19,50,6,37,6,442,14,28
Seth Curry,1990-08-23,0,2018-19,28,POR,NBA,SG,74,1399,14%,70%,16%,,,+3.5,-0.6,35,10,40,4,18,11,161,4,15
Bojan Bogdanović,1989-04-18,1,2016-17,27,WAS,NBA,SF,13,264,,,23%,76%,1%,-12.5,-20.3,6,1,9,1,11,0,21,3,3
Bojan Bogdanović,1989-04-18,1,2017-18,28,IND,NBA,SF,7,238,,,98%,2%,,+6.1,-0.8,5,6,9,0,7,3,30,4,6
Bojan Bogdanović,1989-04-18,1,2018-19,29,IND,NBA,SF,4,148,,,92%,8%,,-11.4,-20.4,2,3,3,1,6,2,27,3,5
Kirk Hinrich,1981-01-02,0,2015-16,35,ATL,NBA,PG,11,76,50%,50%,,,,+17.8,+14.4,1,0,1,0,0,2,35,0,1
Kirk Hinrich,1981-01-02,1,2009-10,29,CHI,NBA,SG,5,196,11%,89%,,,,-14.4,-22.1,1,1,12,0,2,2,42,0,1
Kirk Hinrich,1981-01-02,1,2010-11,30,ATL,NBA,PG,6,173,100%,,,,,+1.3,+9.0,1,3,8,0,0,1,35,0,4
Solomon Hill,1991-03-18,1,2013-14,22,IND,NBA,SF,1,1,,,100%,,,,,0,0,0,0,0,0,0,0,0
Solomon Hill,1991-03-18,1,2015-16,24,IND,NBA,SF,7,198,,,74%,26%,,+5.4,+8.9,2,0,11,1,6,0,20,0,3
Eddy Curry,1982-12-05,0,2011-12,29,MIA,NBA,C,14,83,,,,,100%,-42.0,-50.0,2,3,10,4,4,0,3,0,3
Eddy Curry,1982-12-05,0,2012-13,30,DAL,NBA,C,2,25,,,,,100%,+5.9,+6.6,0,1,3,2,1,0,0,0,2
Jordan Hill,1987-07-27,0,2012-13,25,LAL,NBA,PF,29,458,,,,85%,15%,-2.5,-4.7,5,2,33,10,23,2,32,5,10
Jordan Hill,1987-07-27,0,2013-14,26,LAL,NBA,PF,72,1500,,,6%,73%,21%,-9.6,-5.6,19,30,110,13,93,2,138,24,31
Jordan Hill,1987-07-27,0,2014-15,27,LAL,NBA,C,70,1874,,,,8%,92%,-10.9,-7.3,28,44,106,20,73,6,234,13,30
Jared Cunningham,1991-05-22,0,2013-14,22,TOT,NBA,SG,13,80,33%,67%,,,,+4.4,+6.9,1,0,5,1,6,3,19,0,3
Jared Cunningham,1991-05-22,0,2013-14,22,ATL,NBA,SG,5,22,,100%,,,,-4.7,-4.4,1,0,1,1,1,1,8,0,0
Jared Cunningham,1991-05-22,0,2013-14,22,SAC,NBA,SG,8,58,45%,55%,,,,+7.9,+11.2,0,0,4,0,5,2,11,0,3
George Hill,1986-05-04,0,2017-18,31,TOT,NBA,PG,67,1812,73%,27%,,,,-3.8,+0.3,44,23,54,9,42,12,446,9,17
George Hill,1986-05-04,0,2017-18,31,SAC,NBA,PG,43,1143,57%,43%,,,,-11.6,-5.5,31,15,34,7,30,6,284,8,8
George Hill,1986-05-04,0,2017-18,31,CLE,NBA,PG,24,669,100%,,,,,+9.4,+10.1,13,8,20,2,12,6,162,1,9
Andrew Bogut,1984-11-28,1,2014-15,30,GSW,NBA,C,19,440,,,,,100%,+2.5,-10.0,14,7,34,4,4,4,87,1,6
