Season,Tm,Age
2012-13,PHI,25.529411764705884
2012-13,PHO,26.25
2012-13,POR,25.0
2012-13,SAC,25.41176470588235
2012-13,SAS,27.5625
2012-13,TOR,26.0
2012-13,TOT,26.12
2012-13,UTA,26.0
2012-13,WAS,26.210526315789473
2013-14,ATL,26.11111111111111
2013-14,BOS,25.68421052631579
2013-14,BRK,28.842105263157894
2013-14,CHI,27.75
2013-14,CHO,26.157894736842106
2013-14,CLE,24.523809523809526
2013-14,DAL,28.2
2013-14,DEN,26.0
2013-14,DET,25.6
2013-14,GSW,26.333333333333332
2013-14,HOU,25.38888888888889
2013-14,IND,27.176470588235293
2013-14,LAC,28.55
2013-14,LAL,27.263157894736842
2013-14,MEM,26.88888888888889
2013-14,MIA,30.0
2013-14,MIL,25.57894736842105
2013-14,MIN,26.0
2013-14,NOP,25.571428571428573
2013-14,NYK,28.22222222222222
2013-14,OKC,27.22222222222222
2013-14,ORL,24.875
2013-14,PHI,23.391304347826086
2013-14,PHO,25.866666666666667
2013-14,POR,25.4
2013-14,SAC,25.91304347826087
2013-14,SAS,27.894736842105264
2013-14,TOR,26.15
2013-14,TOT,26.41269841269841
2013-14,UTA,25.823529411764707
2013-14,WAS,26.647058823529413
2014-15,ATL,27.0
2014-15,BOS,26.181818181818183
2014-15,BRK,27.526315789473685
2014-15,CHI,28.285714285714285
2014-15,CHO,26.11764705882353
2014-15,CLE,27.95
2014-15,DAL,28.57894736842105
2014-15,DEN,25.85
2014-15,DET,27.0
2014-15,GSW,26.733333333333334
2014-15,HOU,26.65
2014-15,IND,27.8125
2014-15,LAC,28.05
2014-15,LAL,25.88888888888889
2014-15,MEM,27.68421052631579
2014-15,MIA,27.523809523809526
2014-15,MIL,24.85
2014-15,MIN,25.96
2014-15,NOP,25.476190476190474
2014-15,NYK,27.25
2014-15,OKC,25.523809523809526
2014-15,ORL,24.933333333333334
2014-15,PHI,23.88
2014-15,PHO,25.695652173913043
2014-15,POR,26.38888888888889
2014-15,SAC,26.105263157894736
2014-15,SAS,28.470588235294116
2014-15,TOR,25.933333333333334
2014-15,TOT,26.32894736842105
2014-15,UTA,24.0
2014-15,WAS,28.61111111111111
2015-16,ATL,27.470588235294116
2015-16,BOS,24.5
2015-16,BRK,26.0
2015-16,CHI,27.5625
2015-16,CHO,25.941176470588236
2015-16,CLE,28.833333333333332
2015-16,DAL,29.1875
2015-16,DEN,25.526315789473685
2015-16,DET,25.88235294117647
2015-16,GSW,27.375
2015-16,HOU,27.055555555555557
2015-16,IND,25.9375
2015-16,LAC,28.833333333333332
2015-16,LAL,27.066666666666666
2015-16,MEM,27.857142857142858
2015-16,MIA,28.57894736842105
2015-16,MIL,24.647058823529413
2015-16,MIN,27.0625
2015-16,NOP,26.666666666666668
2015-16,NYK,26.75
2015-16,OKC,27.235294117647058
2015-16,ORL,24.88235294117647
2015-16,PHI,24.333333333333332
2015-16,PHO,25.695652173913043
2015-16,POR,24.625
2015-16,SAC,26.4
2015-16,SAS,31.058823529411764
2015-16,TOR,25.375
2015-16,TOT,27.9
2015-16,UTA,24.529411764705884
2015-16,WAS,27.94736842105263
2016-17,ATL,28.2
2016-17,BOS,25.266666666666666
2016-17,BRK,25.80952380952381
2016-17,CHI,25.88888888888889
2016-17,CHO,25.789473684210527
2016-17,CLE,30.047619047619047
2016-17,DAL,26.75
2016-17,DEN,25.473684210526315
2016-17,DET,25.466666666666665
2016-17,GSW,27.88235294117647
2016-17,HOU,26.0
2016-17,IND,26.9375
2016-17,LAC,29.533333333333335
2016-17,LAL,26.72222222222222
2016-17,MEM,27.235294117647058
