Season,Team,avg_exp,var_exp
2012-13,Chicago Bulls,6.533333333333333,18.695238095238096
2012-13,Cleveland Cavaliers,3.263157894736842,8.538011695906434
2012-13,Dallas Mavericks,6.217391304347826,29.99604743083004
2012-13,Denver Nuggets,3.6666666666666665,11.523809523809522
2012-13,Detroit Pistons,3.875,16.249999999999996
2012-13,Golden State Warriors,3.388888888888889,12.016339869281047
2012-13,Houston Rockets,2.1,4.8315789473684205
2012-13,Indiana Pacers,3.375,6.116666666666666
2012-13,Los Angeles Clippers,7.733333333333333,25.638095238095243
2012-13,Los Angeles Lakers,6.75,34.06666666666666
2012-13,Memphis Grizzlies,4.25,12.302631578947368
2012-13,Miami Heat,7.777777777777778,29.7124183006536
2012-13,Milwaukee Bucks,5.055555555555555,15.820261437908494
2012-13,Minnesota Timberwolves,3.6315789473684212,9.24561403508772
