Season,Team,Salary
2015-16,Oklahoma City Thunder,6308177.333333333
2015-16,Orlando Magic,3334192.4210526315
2015-16,Philadelphia 76ers,2767234.652173913
2015-16,Phoenix Suns,3168236.772727273
2015-16,Portland Trail Blazers,3388926.3333333335
2015-16,Sacramento Kings,4223868.882352941
2015-16,San Antonio Spurs,4853616.611111111
2015-16,Toronto Raptors,4224097.94117647
2015-16,Utah Jazz,3236694.2
2015-16,Washington Wizards,4679850.944444444
2016-17,Atlanta Hawks,4800362.5
2016-17,Boston Celtics,4673266.4
2016-17,Brooklyn Nets,3496090.4166666665
2016-17,Charlotte Hornets,5009773.666666667
2016-17,Chicago Bulls,5781367.9375
2016-17,Cleveland Cavaliers,7069698.833333333
2016-17,Dallas Mavericks,3999772.1153846155
2016-17,Denver Nuggets,3590173.782608696
2016-17,Detroit Pistons,6052138.611111111
2016-17,Golden State Warriors,5078779.45
2016-17,Houston Rockets,5027683.222222222
2016-17,Indiana Pacers,4699175.2
2016-17,Los Angeles Clippers,6457641.166666667
2016-17,Los Angeles Lakers,5287010.166666667
2016-17,Memphis Grizzlies,5054963.136363637
2016-17,Miami Heat,5353600.263157895
2016-17,Milwaukee Bucks,5325606.05
2016-17,Minnesota Timberwolves,4295862.052631579
2016-17,New Orleans Pelicans,4068295.44
2016-17,New York Knicks,6087993.764705882
2016-17,Oklahoma City Thunder,4563247.45
2016-17,Orlando Magic,5783907.555555556
2016-17,Philadelphia 76ers,3059795.535714286
2016-17,Phoenix Suns,4053132.285714286
2016-17,Portland Trail Blazers,7458184.533333333
2016-17,Sacramento Kings,4797154.6
2016-17,San Antonio Spurs,5655356.894736842
2016-17,Toronto Raptors,6781779.3125
2016-17,Utah Jazz,4736658.411764706
2016-17,Washington Wizards,5685243.444444444
2017-18,Atlanta Hawks,3501779.6551724137
2017-18,Boston Celtics,5567914.714285715
2017-18,Brooklyn Nets,4937016.7
2017-18,Charlotte Hornets,7442417.5
2017-18,Chicago Bulls,3533230.0
2017-18,Cleveland Cavaliers,7762045.444444444
2017-18,Dallas Mavericks,3743219.5
2017-18,Denver Nuggets,6048095.5
2017-18,Detroit Pistons,5793976.0
2017-18,Golden State Warriors,7572055.777777778
2017-18,Houston Rockets,4653891.307692308
2017-18,Indiana Pacers,4153039.1739130435
2017-18,Los Angeles Clippers,5501306.454545454
2017-18,Los Angeles Lakers,4524392.956521739
2017-18,Memphis Grizzlies,4502448.04
2017-18,Miami Heat,6611692.9
2017-18,Milwaukee Bucks,4961511.458333333
2017-18,Minnesota Timberwolves,5894732.444444444
2017-18,New Orleans Pelicans,5249869.739130435
2017-18,New York Knicks,4829803.318181818
2017-18,Oklahoma City Thunder,7534896.166666667
2017-18,Orlando Magic,5125727.736842105
2017-18,Philadelphia 76ers,4518460.652173913
2017-18,Phoenix Suns,4103006.5217391304
2017-18,Portland Trail Blazers,6009526.1
2017-18,Sacramento Kings,4240580.0
2017-18,San Antonio Spurs,6498270.555555556
2017-18,Toronto Raptors,6232915.368421053
2017-18,Utah Jazz,5186495.571428572
2017-18,Washington Wizards,6576640.631578947
2018-19,Atlanta Hawks,4500070.541666667
2018-19,Boston Celtics,6704866.157894737
2018-19,Brooklyn Nets,5418051.318181818
2018-19,Charlotte Hornets,7304562.352941177
2018-19,Chicago Bulls,4989085.217391305
2018-19,Cleveland Cavaliers,6022572.380952381
2018-19,Dallas Mavericks,4509572.4
2018-19,Denver Nuggets,6222630.47368421
2018-19,Detroit Pistons,6689186.894736842
2018-19,Golden State Warriors,8224273.611111111
2018-19,Houston Rockets,6031459.571428572
2018-19,Indiana Pacers,5076469.0
2018-19,Los Angeles Clippers,5005269.833333333
2018-19,Los Angeles Lakers,5456312.35
2018-19,Memphis Grizzlies,5449971.869565218
2018-19,Miami Heat,7985073.105263158
2018-19,Milwaukee Bucks,6038844.380952381
2018-19,Minnesota Timberwolves,5628118.954545454
2018-19,New Orleans Pelicans,6039836.842105263
2018-19,New York Knicks,5963760.19047619
2018-19,Oklahoma City Thunder,7668405.368421053
2018-19,Orlando Magic,5820866.25
2018-19,Philadelphia 76ers,5739673.15
2018-19,Phoenix Suns,4243500.923076923
2018-19,Portland Trail Blazers,7361803.722222222
2018-19,Sacramento Kings,4788191.136363637
2018-19,San Antonio Spurs,6212436.55
2018-19,Toronto Raptors,7620429.777777778
2018-19,Utah Jazz,6682031.294117647
2018-19,Washington Wizards,5967233.80952381
2019-20,Atlanta Hawks,5191454.636363637
2019-20,Boston Celtics,6024898.15
2019-20,Brooklyn Nets,5368696.75
2019-20,Charlotte Hornets,6915697.277777778
2019-20,Chicago Bulls,6213645.2105263155
2019-20,Cleveland Cavaliers,5979828.181818182
2019-20,Dallas Mavericks,6192019.6
2019-20,Denver Nuggets,7299657.666666667
2019-20,Detroit Pistons,5544072.458333333
2019-20,Golden State Warriors,7307107.222222222
2019-20,Houston Rockets,5788863.434782608
2019-20,Indiana Pacers,6447724.555555556
2019-20,Los Angeles Clippers,7544022.888888889
2019-20,Los Angeles Lakers,5785379.7727272725
2019-20,Memphis Grizzlies,5027900.653846154
2019-20,Miami Heat,6784615.4
2019-20,Milwaukee Bucks,6221656.409090909
2019-20,Minnesota Timberwolves,7440897.833333333
2019-20,New Orleans Pelicans,6493870.944444444
2019-20,New York Knicks,6237834.277777778
2019-20,Oklahoma City Thunder,7140572.684210527
2019-20,Orlando Magic,6435485.0
2019-20,Philadelphia 76ers,7044618.736842105
2019-20,Phoenix Suns,6424345.684210527
2019-20,Portland Trail Blazers,6629815.428571428
2019-20,Sacramento Kings,5196975.521739131
2019-20,San Antonio Spurs,6591874.631578947
2019-20,Toronto Raptors,6265243.8
2019-20,Utah Jazz,6149997.05
2019-20,Washington Wizards,5765788.478260869
2020-21,Atlanta Hawks,6533295.833333333
2020-21,Boston Celtics,6630913.05
2020-21,Brooklyn Nets,7113452.083333333
2020-21,Charlotte Hornets,6065060.833333333
2020-21,Chicago Bulls,7636388.529411765
2020-21,Cleveland Cavaliers,5034234.615384615
2020-21,Dallas Mavericks,7136672.722222222
2020-21,Denver Nuggets,6920238.684210527
2020-21,Detroit Pistons,5842898.2
2020-21,Golden State Warriors,9095901.157894736
2020-21,Houston Rockets,4734225.464285715
2020-21,Indiana Pacers,6602190.45
2020-21,Los Angeles Clippers,7839927.444444444
2020-21,Los Angeles Lakers,6704741.761904762
2020-21,Memphis Grizzlies,6042362.090909091
2020-21,Miami Heat,7119679.105263158
2020-21,Milwaukee Bucks,6672867.25
2020-21,Minnesota Timberwolves,8161895.0625
2020-21,New Orleans Pelicans,6779522.55
2020-21,New York Knicks,3712751.0
2020-21,Oklahoma City Thunder,3265742.966666667
2020-21,Orlando Magic,4952366.666666667
2020-21,Philadelphia 76ers,7187707.857142857
2020-21,Phoenix Suns,7616476.823529412
2020-21,Portland Trail Blazers,7403288.944444444
2020-21,Sacramento Kings,4886248.363636363
2020-21,San Antonio Spurs,6218923.285714285
2020-21,Toronto Raptors,5908825.090909091
2020-21,Utah Jazz,7679158.444444444
2020-21,Washington Wizards,6958023.578947368
